,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
36,D,1.3,5.0,12.0,7,2,1,16,6,159,74,476,76,38,434,3,2,5,9,14,131,69,426,147,67,484,0.46540880503144655,0.21621621621621623,0.5,0.15789473684210525,0.5267175572519084,0.13043478260869565,0.4557823129251701,0.208955223880597
37,H,1.14,7.5,23.0,6,3,1,18,7,172,95,540,106,57,370,3,2,5,10,13,114,51,450,123,66,460,0.5523255813953488,0.18947368421052632,0.5377358490566038,0.12280701754385964,0.4473684210526316,0.19607843137254902,0.5365853658536586,0.19696969696969696
38,H,1.33,4.75,11.0,4,2,4,16,17,153,76,512,94,47,398,4,2,4,11,15,137,64,456,115,52,454,0.49673202614379086,0.21052631578947367,0.5,0.3617021276595745,0.46715328467153283,0.171875,0.45217391304347826,0.28846153846153844
39,D,1.8,3.5,4.75,2,4,4,14,16,104,54,434,127,48,476,4,3,3,8,10,80,45,423,145,75,487,0.5192307692307693,0.25925925925925924,0.3779527559055118,0.3333333333333333,0.5625,0.17777777777777778,0.5172413793103449,0.13333333333333333
40,A,5.5,3.5,1.73,1,3,6,10,17,99,47,423,103,50,487,7,2,1,16,6,157,72,466,79,39,444,0.47474747474747475,0.2127659574468085,0.4854368932038835,0.34,0.4585987261146497,0.2222222222222222,0.4936708860759494,0.15384615384615385
41,D,2.6,3.2,2.8,3,4,3,8,7,117,60,469,141,67,441,2,2,6,14,16,117,60,447,101,52,463,0.5128205128205128,0.13333333333333333,0.475177304964539,0.1044776119402985,0.5128205128205128,0.23333333333333334,0.5148514851485149,0.3076923076923077
42,A,7.0,3.8,1.53,5,1,4,13,10,121,62,428,155,76,482,6,2,2,20,6,178,90,498,94,37,412,0.512396694214876,0.20967741935483872,0.49032258064516127,0.13157894736842105,0.5056179775280899,0.2222222222222222,0.39361702127659576,0.16216216216216217
43,H,2.38,3.25,3.1,4,4,2,17,13,98,46,423,168,84,487,3,4,3,9,14,114,56,417,146,76,493,0.46938775510204084,0.3695652173913043,0.5,0.15476190476190477,0.49122807017543857,0.16071428571428573,0.5205479452054794,0.18421052631578946
44,H,1.53,4.2,6.0,8,2,0,29,7,169,87,573,56,33,336,5,3,2,18,14,108,56,510,99,43,400,0.514792899408284,0.3333333333333333,0.5892857142857143,0.21212121212121213,0.5185185185185185,0.32142857142857145,0.43434343434343436,0.32558139534883723
45,A,2.62,3.25,2.75,4,3,3,11,11,100,50,451,151,84,459,4,3,3,12,9,103,49,464,124,58,446,0.5,0.22,0.5562913907284768,0.13095238095238096,0.47572815533980584,0.24489795918367346,0.46774193548387094,0.15517241379310345
46,D,2.62,3.25,2.75,1,1,8,6,22,128,58,422,120,64,488,4,4,2,13,10,114,54,456,124,62,454,0.453125,0.10344827586206896,0.5333333333333333,0.34375,0.47368421052631576,0.24074074074074073,0.5,0.16129032258064516
47,A,2.75,3.25,2.62,2,3,5,6,13,125,68,414,160,69,496,4,1,5,13,14,140,68,482,113,62,428,0.544,0.08823529411764706,0.43125,0.18840579710144928,0.4857142857142857,0.19117647058823528,0.5486725663716814,0.22580645161290322
48,D,1.33,5.0,10.0,7,2,1,17,7,152,69,477,79,39,433,5,3,2,17,12,106,48,425,161,83,485,0.45394736842105265,0.2463768115942029,0.4936708860759494,0.1794871794871795,0.4528301886792453,0.3541666666666667,0.515527950310559,0.14457831325301204
49,H,2.0,3.4,3.8,2,2,6,8,14,98,41,429,131,64,481,1,2,7,6,21,130,58,424,114,62,486,0.41836734693877553,0.1951219512195122,0.48854961832061067,0.21875,0.4461538461538462,0.10344827586206896,0.543859649122807,0.3387096774193548
50,D,4.5,3.5,1.83,5,1,4,15,12,140,70,473,120,62,437,7,2,1,18,6,182,97,558,82,42,352,0.5,0.21428571428571427,0.5166666666666667,0.1935483870967742,0.532967032967033,0.18556701030927836,0.5121951219512195,0.14285714285714285
51,H,1.67,3.6,5.5,4,3,3,13,10,95,45,455,126,63,455,5,1,4,13,10,130,65,446,133,61,464,0.47368421052631576,0.28888888888888886,0.5,0.15873015873015872,0.5,0.2,0.45864661654135336,0.16393442622950818
52,D,4.5,3.6,1.8,3,4,3,10,14,106,50,421,146,71,489,5,2,3,16,15,142,67,506,102,51,404,0.4716981132075472,0.2,0.4863013698630137,0.19718309859154928,0.47183098591549294,0.23880597014925373,0.5,0.29411764705882354
53,A,2.0,3.4,3.8,2,3,5,14,15,119,59,454,102,55,456,4,3,3,13,12,104,55,458,141,79,452,0.4957983193277311,0.23728813559322035,0.5392156862745098,0.2727272727272727,0.5288461538461539,0.23636363636363636,0.5602836879432624,0.1518987341772152
54,H,2.1,3.3,3.6,3,2,5,9,15,141,67,452,114,47,458,0,3,7,9,19,97,43,413,107,54,497,0.475177304964539,0.13432835820895522,0.41228070175438597,0.3191489361702128,0.44329896907216493,0.20930232558139536,0.5046728971962616,0.35185185185185186
55,H,1.57,3.8,6.0,9,1,0,32,6,163,79,560,57,34,349,5,2,3,19,18,160,84,497,109,46,413,0.48466257668711654,0.4050632911392405,0.5964912280701754,0.17647058823529413,0.525,0.2261904761904762,0.42201834862385323,0.391304347826087
56,A,2.05,3.2,3.4,3,5,2,12,11,112,51,459,125,62,451,2,5,3,15,15,99,49,449,125,48,461,0.45535714285714285,0.23529411764705882,0.496,0.1774193548387097,0.494949494949495,0.30612244897959184,0.384,0.3125
57,D,1.25,5.5,15.0,7,1,2,21,5,171,89,505,108,44,405,1,3,6,4,14,123,64,423,154,71,487,0.52046783625731,0.23595505617977527,0.4074074074074074,0.11363636363636363,0.5203252032520326,0.0625,0.461038961038961,0.19718309859154928
58,A,3.0,3.4,2.37,1,4,5,4,12,112,60,421,166,81,489,5,3,2,17,10,99,47,461,108,49,449,0.5357142857142857,0.06666666666666667,0.4879518072289157,0.14814814814814814,0.47474747474747475,0.3617021276595745,0.4537037037037037,0.20408163265306123
59,H,1.83,3.5,4.5,0,3,7,9,20,101,43,424,98,47,486,4,3,3,10,12,87,47,430,125,66,480,0.42574257425742573,0.20930232558139536,0.47959183673469385,0.425531914893617,0.5402298850574713,0.2127659574468085,0.528,0.18181818181818182
60,H,2.2,3.25,3.5,3,5,2,8,6,109,60,460,140,65,450,2,5,3,10,15,108,51,424,143,70,486,0.5504587155963303,0.13333333333333333,0.4642857142857143,0.09230769230769231,0.4722222222222222,0.19607843137254902,0.48951048951048953,0.21428571428571427
61,H,2.2,3.25,3.4,4,1,5,12,13,127,60,436,131,60,474,2,5,3,10,13,112,47,444,125,61,466,0.47244094488188976,0.2,0.4580152671755725,0.21666666666666667,0.41964285714285715,0.2127659574468085,0.488,0.21311475409836064
62,A,2.1,3.25,3.75,4,4,2,17,13,109,48,422,162,83,488,3,2,5,11,12,104,46,430,137,70,480,0.44036697247706424,0.3541666666666667,0.5123456790123457,0.1566265060240964,0.4423076923076923,0.2391304347826087,0.5109489051094891,0.17142857142857143
63,H,1.9,3.4,4.0,4,2,4,17,19,151,79,477,110,47,433,5,2,3,17,17,109,63,503,99,43,407,0.5231788079470199,0.21518987341772153,0.42727272727272725,0.40425531914893614,0.5779816513761468,0.2698412698412698,0.43434343434343436,0.3953488372093023
64,D,2.4,3.25,3.0,5,2,3,16,15,147,71,498,102,49,412,6,3,1,16,7,164,75,481,84,40,429,0.48299319727891155,0.22535211267605634,0.4803921568627451,0.30612244897959184,0.4573170731707317,0.21333333333333335,0.47619047619047616,0.175
65,H,2.37,3.4,3.0,3,5,2,17,13,102,50,455,136,49,455,5,2,3,15,11,122,60,439,127,68,471,0.49019607843137253,0.34,0.3602941176470588,0.2653061224489796,0.4918032786885246,0.25,0.5354330708661418,0.16176470588235295
66,H,3.25,3.3,2.25,0,2,8,5,25,136,65,431,115,64,479,2,3,5,12,13,124,63,462,101,52,448,0.47794117647058826,0.07692307692307693,0.5565217391304348,0.390625,0.5080645161290323,0.19047619047619047,0.5148514851485149,0.25
67,D,5.0,3.6,1.73,5,2,3,12,10,104,55,459,139,76,451,6,2,2,19,5,181,100,510,98,42,400,0.5288461538461539,0.21818181818181817,0.5467625899280576,0.13157894736842105,0.5524861878453039,0.19,0.42857142857142855,0.11904761904761904
68,H,1.33,4.5,12.0,5,4,1,14,6,159,74,473,83,40,437,5,0,5,14,14,133,63,443,135,66,467,0.46540880503144655,0.1891891891891892,0.4819277108433735,0.15,0.47368421052631576,0.2222222222222222,0.4888888888888889,0.21212121212121213
69,D,2.25,3.25,3.3,4,1,5,14,12,109,46,439,136,72,471,1,2,7,12,20,102,48,421,99,46,489,0.42201834862385323,0.30434782608695654,0.5294117647058824,0.16666666666666666,0.47058823529411764,0.25,0.46464646464646464,0.43478260869565216
70,D,1.72,3.6,5.0,5,2,3,15,11,123,61,437,125,68,473,4,5,1,11,5,112,65,458,141,65,452,0.4959349593495935,0.2459016393442623,0.544,0.16176470588235295,0.5803571428571429,0.16923076923076924,0.46099290780141844,0.07692307692307693
71,D,2.5,3.3,2.87,6,2,2,18,10,97,47,449,118,58,461,4,3,3,14,15,133,63,499,108,52,411,0.4845360824742268,0.3829787234042553,0.4915254237288136,0.1724137931034483,0.47368421052631576,0.2222222222222222,0.48148148148148145,0.28846153846153844
72,A,2.5,3.3,2.87,2,5,3,10,13,110,53,430,143,72,480,5,3,2,11,7,109,60,451,132,72,459,0.4818181818181818,0.18867924528301888,0.5034965034965035,0.18055555555555555,0.5504587155963303,0.18333333333333332,0.5454545454545454,0.09722222222222222
73,H,1.8,3.6,4.5,2,2,6,11,13,115,62,451,108,55,459,3,4,3,17,17,115,52,442,147,73,468,0.5391304347826087,0.1774193548387097,0.5092592592592593,0.23636363636363636,0.45217391304347826,0.3269230769230769,0.4965986394557823,0.2328767123287671
74,A,2.2,3.25,3.4,2,4,4,11,15,115,51,443,129,63,467,1,4,5,4,12,115,65,433,166,84,477,0.4434782608695652,0.21568627450980393,0.4883720930232558,0.23809523809523808,0.5652173913043478,0.06153846153846154,0.5060240963855421,0.14285714285714285
75,A,12.0,5.0,1.3,4,3,3,10,13,92,45,440,115,59,470,6,3,1,16,6,167,88,547,82,42,363,0.4891304347826087,0.2222222222222222,0.5130434782608696,0.22033898305084745,0.5269461077844312,0.18181818181818182,0.5121951219512195,0.14285714285714285
76,H,2.25,3.3,3.25,4,2,4,12,14,125,57,446,119,49,464,4,4,2,17,12,97,44,451,136,52,459,0.456,0.21052631578947367,0.4117647058823529,0.2857142857142857,0.4536082474226804,0.38636363636363635,0.38235294117647056,0.23076923076923078
77,H,1.14,7.5,21.0,6,2,2,18,4,168,91,524,95,43,386,1,2,7,7,22,142,68,453,113,63,457,0.5416666666666666,0.1978021978021978,0.45263157894736844,0.09302325581395349,0.4788732394366197,0.10294117647058823,0.5575221238938053,0.3492063492063492
78,H,1.4,4.5,10.0,3,4,3,14,17,119,56,487,110,53,423,2,3,5,11,18,114,55,444,133,64,466,0.47058823529411764,0.25,0.4818181818181818,0.32075471698113206,0.4824561403508772,0.2,0.48120300751879697,0.28125
79,H,1.72,3.6,5.5,2,4,4,8,11,118,65,443,167,89,467,4,3,3,9,12,92,46,443,113,56,467,0.5508474576271186,0.12307692307692308,0.5329341317365269,0.12359550561797752,0.5,0.1956521739130435,0.49557522123893805,0.21428571428571427
80,H,1.8,3.6,5.0,6,2,2,11,6,105,54,462,120,67,448,4,1,5,14,12,110,48,442,131,65,468,0.5142857142857142,0.2037037037037037,0.5583333333333333,0.08955223880597014,0.43636363636363634,0.2916666666666667,0.4961832061068702,0.18461538461538463
