,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
286,H,2.0,3.25,4.0,4,2,4,10,16,117,64,116,57,2,5,3,8,12,117,50,115,54
287,H,2.62,3.25,2.75,4,2,4,11,9,125,61,158,74,2,3,5,11,18,118,54,123,67
288,D,2.2,3.25,3.5,3,3,4,13,14,109,53,172,76,1,2,7,4,15,92,47,142,65
289,H,2.4,3.4,2.9,1,3,6,9,17,135,69,130,66,2,3,5,5,14,156,72,108,46
290,A,2.88,3.0,2.6,2,1,7,8,18,131,60,95,44,3,2,5,13,19,125,71,118,56
291,H,2.3,3.4,3.0,4,3,3,18,16,106,59,110,49,8,1,1,24,13,128,62,108,51
292,H,1.36,4.75,9.5,8,0,2,22,13,155,78,100,49,5,1,4,14,12,120,60,144,72
293,A,2.6,3.25,2.8,7,3,0,21,3,141,63,100,45,8,1,1,15,6,183,92,110,51
294,D,1.83,3.5,4.33,6,2,2,19,6,153,69,108,44,5,4,1,21,12,125,64,96,52
295,H,1.73,3.6,4.75,5,2,3,18,16,127,58,90,37,2,3,5,11,14,99,52,129,56
296,D,1.33,4.75,9.0,8,1,1,29,8,160,83,64,29,3,4,3,13,14,110,58,131,61
297,H,2.0,3.4,3.8,0,4,6,4,14,99,53,157,84,2,3,5,7,15,140,69,130,57
298,H,1.33,5.0,9.0,6,1,3,21,12,135,59,113,47,4,3,3,16,11,129,55,103,50
299,A,12.0,5.0,1.3,2,2,6,6,17,159,74,106,49,8,0,2,21,13,149,76,104,53
300,D,1.67,3.5,6.0,8,0,2,21,13,151,77,102,53,7,2,1,22,7,156,71,96,43
301,H,1.83,3.5,4.5,7,1,2,16,10,126,79,126,61,5,0,5,13,13,122,61,136,71
302,H,1.73,3.6,5.0,4,4,2,16,8,115,57,143,65,4,3,3,7,7,92,48,152,75
303,D,2.5,3.4,2.75,2,2,6,8,18,143,70,132,56,1,3,6,10,21,115,54,119,64
304,A,1.91,3.5,4.0,1,3,6,7,15,112,59,150,81,5,1,4,14,10,124,65,149,73
305,D,2.2,3.3,3.4,2,4,4,11,13,104,49,170,69,1,2,7,6,14,105,27,130,59
306,H,2.2,3.25,3.4,4,2,4,10,10,94,36,120,61,2,1,7,7,19,155,72,115,52
307,H,3.6,3.2,2.1,4,2,4,16,19,130,74,121,54,6,2,2,19,6,145,65,115,49
308,H,2.25,3.5,3.0,3,4,3,13,14,95,50,129,61,7,1,2,22,16,134,68,115,54
309,A,7.0,5.0,1.4,2,3,5,12,16,134,68,122,62,8,1,1,26,5,179,75,73,38
310,H,1.3,5.0,11.0,8,1,1,18,7,178,88,115,54,4,2,4,10,15,116,63,114,57
311,H,1.33,4.75,9.5,6,0,4,12,9,138,68,100,50,2,3,5,10,13,85,38,112,51
312,H,2.2,3.5,3.1,6,1,3,20,17,128,60,89,38,5,3,2,19,13,108,59,112,51
313,H,2.1,3.2,3.75,2,4,4,6,12,118,51,118,56,1,2,7,4,15,104,47,130,59
314,A,2.0,3.5,3.6,7,2,1,28,9,150,79,57,28,2,4,4,10,13,78,36,133,61
315,H,2.25,3.5,3.0,4,3,3,15,15,93,46,130,61,4,3,3,16,12,107,59,117,57
316,H,1.33,5.0,10.0,7,2,1,22,7,154,73,104,44,5,2,3,12,8,103,40,119,58
317,H,1.53,4.0,6.5,9,0,1,27,4,171,75,76,41,7,1,2,16,10,133,82,122,62
318,A,4.0,3.6,1.91,1,2,7,5,16,118,53,115,50,8,1,1,18,6,180,87,113,53
319,H,2.25,3.4,3.2,3,3,4,7,10,90,44,155,76,1,3,6,7,19,148,73,121,53
320,H,2.3,3.4,3.1,1,4,5,11,21,112,54,111,61,1,3,6,7,15,104,51,153,80
321,D,1.83,3.5,4.5,4,1,5,10,17,115,64,123,63,2,3,5,12,16,124,65,124,63
322,A,2.1,3.3,3.6,6,1,3,15,9,117,59,151,75,5,3,2,19,9,113,56,148,70
323,A,3.0,3.5,2.3,1,3,6,6,13,110,33,133,61,7,1,2,19,12,150,73,108,58
324,H,2.1,3.4,3.5,2,1,7,6,19,154,69,113,46,3,4,3,9,12,112,47,118,54
325,A,1.8,3.4,4.75,6,2,2,19,6,138,60,121,57,4,3,3,20,24,138,68,114,52
326,D,5.0,4.33,1.57,1,3,6,9,19,85,37,165,72,7,0,3,13,8,134,66,96,45
327,D,2.0,3.6,3.4,3,2,5,10,18,109,58,118,55,6,2,2,26,10,144,76,61,31
328,A,2.5,3.1,2.88,7,1,2,14,8,143,67,104,49,5,2,3,20,9,139,63,120,57
329,H,1.36,4.5,8.0,4,5,1,21,14,123,64,100,50,2,1,7,8,17,130,57,101,50
330,H,1.65,4.2,4.5,4,3,3,22,26,142,68,113,54,1,3,6,8,20,79,43,121,52
331,H,1.7,4.0,4.33,3,4,3,11,12,82,40,132,61,6,0,4,19,19,122,61,112,55
332,D,4.2,3.4,1.91,1,4,5,8,15,135,63,107,44,5,2,3,20,12,150,66,102,39
333,A,1.67,3.6,5.5,2,4,4,12,19,118,56,107,58,3,1,6,7,18,154,70,117,47
334,A,3.2,3.25,2.3,5,3,2,19,9,120,62,144,68,8,1,1,26,8,157,76,93,41
335,A,3.6,3.25,2.1,3,2,5,8,16,107,61,124,61,5,0,5,14,14,119,60,141,70
336,A,2.25,3.25,3.25,1,5,4,11,14,109,52,166,66,1,1,8,6,18,113,53,112,48
337,A,2.63,3.2,2.75,3,3,4,8,12,113,47,118,55,6,1,3,14,9,122,59,152,80
338,H,1.17,6.5,21.0,8,1,1,20,8,170,83,106,51,1,3,6,5,12,114,38,135,60
339,D,1.62,3.75,5.5,4,3,3,19,12,147,66,97,36,3,2,5,18,17,146,61,79,41
340,A,4.75,3.6,1.73,4,1,5,11,13,111,47,96,45,5,2,3,24,19,119,57,113,47
341,H,3.2,3.25,2.3,6,1,3,13,13,130,81,122,60,10,0,0,30,3,163,68,78,41
342,A,6.5,4.0,1.53,2,1,7,6,16,121,57,117,49,8,1,1,21,9,182,91,106,51
343,A,3.75,3.5,2.0,0,3,7,5,14,109,39,146,63,7,0,3,14,13,134,82,119,59
344,H,1.25,5.5,13.0,9,0,1,29,5,149,60,89,48,5,1,4,11,10,104,40,131,65
345,H,1.17,7.0,19.0,8,1,1,29,8,156,76,90,40,2,2,6,6,13,117,48,123,62
346,H,2.1,3.25,3.75,2,1,7,7,18,117,55,117,47,3,2,5,8,14,112,65,115,55
347,H,2.6,3.25,2.8,0,2,8,5,18,110,44,150,66,1,5,4,11,13,104,47,173,72
348,A,6.5,4.0,1.53,2,1,7,6,18,161,75,118,46,8,1,1,17,5,161,78,103,54
349,D,3.3,3.25,2.2,2,2,6,15,21,104,57,126,59,6,1,3,12,9,147,69,111,48
350,A,3.1,3.25,2.38,4,2,4,10,11,103,54,163,79,7,0,3,17,13,139,80,116,60
351,A,6.5,3.8,1.57,6,1,3,12,8,120,58,157,79,9,1,0,24,9,182,88,99,47
352,H,2.4,3.2,3.0,6,2,2,15,11,115,51,88,41,5,2,3,22,25,139,64,122,59
353,A,1.44,4.2,8.0,9,0,1,29,4,159,68,80,43,2,4,4,11,19,117,55,111,57
354,H,2.2,3.3,3.5,8,1,1,20,4,157,83,99,54,8,1,1,29,9,160,82,93,41
355,D,2.2,3.3,3.5,3,1,6,8,15,115,60,118,58,4,1,5,10,12,114,61,161,76
356,A,7.0,4.0,1.53,1,5,4,10,11,117,54,173,71,8,0,2,25,7,171,79,78,42
357,H,2.38,3.25,3.2,4,2,4,9,11,105,41,125,66,3,1,6,9,17,112,51,125,47
358,H,1.83,3.75,4.0,4,3,3,19,12,146,66,86,34,6,0,4,25,20,127,61,121,49
359,A,3.0,3.0,2.5,6,2,2,20,8,137,60,114,53,6,2,2,18,8,114,58,126,74
360,H,1.25,5.5,13.0,5,0,5,17,21,121,59,110,58,2,3,5,8,18,114,58,124,57
361,H,1.73,3.6,5.25,3,4,3,14,15,115,54,123,68,5,1,4,10,10,104,48,151,71
362,H,1.73,3.6,5.25,4,2,4,17,15,124,64,146,71,2,1,7,6,19,155,72,118,48
363,A,6.5,3.8,1.57,2,1,7,5,15,116,51,133,73,6,0,4,15,13,122,65,140,72
364,H,1.36,4.75,8.5,7,1,2,15,11,108,49,149,64,3,1,6,10,16,111,50,99,46
365,H,1.8,3.4,4.75,5,2,3,12,10,137,66,104,43,4,0,6,11,15,112,50,143,62
366,A,3.1,3.1,2.38,5,1,4,23,27,139,68,124,60,4,5,1,22,14,125,59,103,47
367,H,2.25,3.3,3.2,4,3,3,17,14,105,57,120,59,4,2,4,16,17,110,44,117,51
368,H,1.17,8.0,13.0,5,3,2,21,11,142,73,68,36,4,0,6,11,25,110,56,105,53
369,H,1.75,3.5,5.0,3,1,6,8,16,105,50,120,48,1,2,7,7,18,105,45,171,85
370,A,3.1,3.4,2.3,8,0,2,19,13,157,94,113,56,8,1,1,20,5,151,77,105,56
371,H,2.88,3.25,2.5,6,0,4,15,13,114,62,146,75,7,1,2,27,10,156,76,97,43
372,A,2.6,3.2,2.8,1,1,8,4,16,105,45,139,79,1,4,5,11,13,108,48,187,82
373,A,9.0,4.5,1.4,4,2,4,8,11,107,41,115,60,9,1,0,23,6,192,90,87,40
374,H,2.3,3.25,3.25,2,1,7,6,17,154,74,132,61,3,2,5,8,12,112,58,169,76
375,A,4.2,3.5,1.85,3,5,2,14,12,101,45,135,64,4,3,3,19,11,127,57,90,37
376,A,4.0,3.2,2.0,2,1,7,8,16,131,52,111,53,4,5,1,21,14,127,64,107,49
377,A,6.0,3.8,1.57,2,2,6,13,17,103,53,133,60,5,0,5,19,23,131,63,105,53
378,A,6.5,4.2,1.5,1,3,6,12,19,113,38,118,58,5,3,2,23,11,147,75,71,39
379,H,2.6,3.2,2.8,5,1,4,10,11,104,48,140,63,5,2,3,18,14,143,75,141,67
380,H,2.05,3.2,3.8,7,1,2,17,12,118,50,80,35,2,2,6,7,11,83,40,106,54
381,A,3.4,3.4,2.1,3,1,6,8,17,106,52,112,58,5,2,3,18,13,93,50,107,54
382,A,2.25,3.4,3.1,6,1,3,17,9,82,34,74,33,6,0,4,23,19,130,62,119,49
383,H,1.25,5.5,13.0,6,1,3,27,14,157,76,95,42,3,1,6,7,15,145,69,131,59
384,A,6.5,4.0,1.53,3,2,5,8,12,117,59,164,73,8,0,2,27,9,181,87,75,40
385,H,1.4,4.2,10.0,5,3,2,12,9,111,49,119,68,1,1,8,6,17,121,51,137,73
386,D,2.1,3.25,3.75,1,4,5,10,14,112,47,190,86,4,1,5,8,12,91,33,127,69
387,A,1.95,3.4,3.8,2,3,5,10,18,112,55,142,63,2,1,7,12,19,102,51,124,60
388,A,3.25,3.25,2.25,4,3,3,13,13,80,38,128,60,4,1,5,16,17,94,31,117,55
389,H,1.33,5.0,8.5,5,3,2,23,11,144,77,81,42,7,1,2,21,16,133,62,80,35
390,H,1.57,4.0,6.0,8,1,1,18,4,148,77,113,61,7,0,3,19,13,112,61,147,75
391,H,1.8,3.3,5.0,4,2,4,15,16,142,77,142,67,3,2,5,9,11,123,60,106,54
392,H,1.5,4.0,7.0,10,0,0,25,7,191,94,74,35,7,0,3,19,16,152,92,120,63
393,D,2.3,3.5,2.9,3,3,4,14,14,128,54,101,49,3,3,4,14,14,141,56,88,51
394,H,1.95,3.4,3.8,5,1,4,23,26,134,64,135,68,6,2,2,13,8,139,66,102,46
395,H,2.63,3.25,2.63,4,1,5,13,19,92,44,146,71,5,2,3,18,16,91,48,126,60
396,D,1.29,5.25,10.0,6,1,3,21,14,98,51,102,53,4,0,6,10,21,109,57,114,56
397,H,1.44,4.2,7.5,4,1,5,14,16,90,30,117,55,3,1,6,13,20,115,56,105,47
398,H,2.1,3.1,3.75,6,2,2,14,9,134,59,105,48,2,2,6,9,13,77,31,112,53
399,H,1.4,4.2,8.5,6,2,2,20,9,131,75,117,64,2,2,6,8,14,87,42,99,53
400,A,5.5,3.8,1.6,5,2,3,18,16,91,49,114,52,5,0,5,24,23,124,61,101,48
401,H,3.0,3.3,2.35,1,2,7,9,18,120,42,111,59,5,2,3,19,15,110,58,94,50
402,D,3.4,3.2,2.2,7,1,2,20,13,126,54,84,37,5,4,1,18,10,125,66,114,54
403,H,1.14,7.5,23.0,8,0,2,27,10,172,90,79,42,1,2,7,7,19,100,52,166,83
404,H,10.0,5.0,1.33,3,0,7,7,19,128,61,142,67,10,0,0,27,7,190,96,72,32
405,A,8.5,4.5,1.4,3,2,5,8,13,92,37,131,70,8,1,1,20,7,154,82,105,56
406,A,4.2,3.4,1.91,1,0,9,6,19,125,57,133,71,5,1,4,15,13,153,83,135,67
407,A,6.5,4.0,1.53,5,0,5,10,13,104,48,121,51,6,1,3,27,13,167,85,92,44
408,H,3.1,3.25,2.38,3,2,5,9,13,125,62,118,61,6,2,2,13,8,101,47,122,71
409,H,3.1,3.4,2.25,9,0,1,20,9,112,55,144,62,6,3,1,24,9,110,52,85,36
410,A,2.5,3.25,2.8,3,4,3,14,16,92,38,128,65,6,1,3,17,9,83,32,80,37
411,D,1.91,3.4,4.0,4,2,4,17,17,104,52,96,51,6,1,3,19,18,127,58,75,34
412,A,11.0,5.0,1.29,2,4,4,12,18,89,38,167,83,5,3,2,27,14,120,69,85,45
413,D,4.33,3.25,1.91,2,1,7,10,18,98,39,153,81,5,1,4,24,26,135,68,131,65
414,D,1.22,6.0,13.0,5,5,0,18,9,133,67,104,51,2,2,6,15,21,102,58,127,60
415,D,2.1,3.2,3.6,2,1,7,8,17,127,50,100,51,4,0,6,10,13,111,54,143,64
