,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
1438,A,4.0,3.6,1.85,3,1,6,15,15,104,55,109,50,5,2,3,19,10,144,63,97,40
1439,D,3.5,3.1,2.2,1,1,8,6,21,95,43,129,56,6,0,4,18,12,142,74,134,71
1440,H,2.0,3.2,4.0,6,2,2,14,8,123,60,132,66,2,1,7,12,22,125,67,112,54
1441,H,1.36,4.5,9.0,6,1,3,18,12,139,63,104,48,2,3,5,10,18,101,53,125,53
1442,D,4.0,3.2,2.0,1,3,6,9,16,105,52,133,72,6,4,0,18,6,137,67,125,55
1443,A,2.5,3.2,2.8,1,3,6,12,24,91,38,142,77,5,2,3,17,12,105,43,123,68
1444,H,1.2,6.5,13.0,9,0,1,32,11,141,66,88,40,3,0,7,12,22,104,51,98,55
1445,D,2.0,3.4,3.75,1,3,6,8,17,84,35,127,63,1,4,5,10,18,76,42,128,63
1446,A,3.25,3.5,2.1,0,1,9,8,22,70,27,127,60,4,1,5,14,15,141,65,104,61
1447,A,1.73,3.6,5.0,5,3,2,15,10,130,64,118,59,2,6,2,13,13,132,61,100,48
1448,H,1.29,5.5,11.0,6,4,0,20,7,137,71,105,43,5,3,2,14,11,126,46,144,75
1449,A,3.2,3.3,2.3,2,4,4,10,16,109,53,129,58,4,4,2,17,16,150,66,129,58
1450,A,3.25,3.25,2.25,4,3,3,17,16,92,42,122,60,4,3,3,13,10,156,84,104,55
1451,A,2.1,3.3,3.6,2,1,7,10,20,105,52,136,64,1,5,4,9,15,94,48,97,43
1452,A,2.3,3.2,3.2,4,2,4,15,18,98,50,115,61,4,2,4,14,12,131,58,110,53
1453,A,1.91,3.4,4.2,1,4,5,8,13,119,67,129,59,1,4,5,10,16,109,41,137,76
1454,H,2.1,3.25,3.75,4,3,3,18,13,133,64,138,58,3,2,5,15,17,123,56,103,46
1455,H,2.63,3.2,2.75,7,0,3,18,10,138,82,100,60,4,4,2,10,9,148,76,106,42
1456,A,1.62,3.75,6.0,4,3,3,13,13,118,43,145,78,4,3,3,15,15,122,48,163,67
1457,H,1.53,4.0,6.5,4,4,2,17,16,146,65,142,67,4,2,4,16,17,103,50,123,62
1458,D,3.4,3.2,2.25,2,4,4,12,15,114,45,148,79,2,6,2,13,14,123,56,130,69
1459,H,1.44,4.2,8.0,5,3,2,16,8,153,81,112,56,2,3,5,11,18,125,66,125,57
1460,D,6.5,4.33,1.5,1,6,3,9,11,93,47,158,85,7,3,0,22,7,139,73,90,31
1461,A,1.83,3.5,4.5,3,1,6,13,17,128,64,95,42,4,1,5,15,20,102,55,109,61
1462,A,1.83,3.4,4.75,4,2,4,15,12,120,54,116,57,1,4,5,8,14,124,70,125,57
1463,A,1.33,5.0,10.0,4,1,5,13,12,141,61,113,56,2,1,7,11,20,111,55,126,57
1464,D,6.5,4.2,1.5,2,4,4,9,14,100,52,96,46,7,0,3,19,10,128,73,107,61
1465,H,1.29,5.5,11.0,3,4,3,9,12,144,72,101,43,5,2,3,19,12,138,68,141,65
1466,H,1.7,3.75,5.0,4,1,5,12,11,131,60,110,54,5,2,3,19,12,134,64,147,68
1467,H,1.83,3.5,4.5,4,3,3,12,10,132,48,134,69,5,1,4,17,19,95,50,117,64
1468,H,1.4,4.5,8.5,5,3,2,18,15,148,68,146,72,2,4,4,9,12,118,70,128,62
1469,H,2.0,3.4,3.8,2,5,3,13,15,117,44,138,65,3,0,7,11,19,108,51,127,57
1470,H,1.29,5.5,10.0,6,3,1,19,6,142,82,115,58,4,3,3,15,14,116,46,168,70
1471,A,5.5,3.6,1.67,1,6,3,10,12,95,46,158,81,6,1,3,18,12,129,72,105,60
1472,A,6.0,4.2,1.53,2,1,7,12,19,132,66,91,41,7,3,0,21,6,133,68,90,31
1473,H,2.63,3.2,2.75,4,2,4,14,12,131,62,111,56,1,7,2,12,15,128,55,121,61
1474,A,2.5,3.2,2.9,2,4,4,10,15,94,54,103,51,3,2,5,14,18,107,51,132,70
1475,D,1.25,5.5,13.0,4,3,3,10,12,146,72,101,45,2,3,5,11,21,122,65,119,58
1476,H,1.62,3.75,5.5,3,0,7,12,21,95,46,101,57,1,3,6,8,17,86,38,127,61
1477,H,1.62,3.75,5.5,3,3,4,13,15,101,53,107,51,3,1,6,6,19,92,55,117,64
1478,A,1.67,3.5,5.5,4,0,6,14,21,106,49,111,51,2,3,5,5,16,104,54,118,55
1479,H,1.44,4.33,7.0,6,2,2,20,11,117,56,75,32,1,2,7,12,25,97,43,142,75
1480,A,10.0,5.25,1.29,5,2,3,17,14,112,42,126,70,9,0,1,27,10,138,64,90,41
1481,D,1.44,4.33,7.0,4,1,5,16,15,137,65,99,56,2,3,5,8,17,93,49,106,50
1482,A,2.3,3.25,3.25,4,3,3,13,12,111,49,178,75,1,6,3,10,13,93,44,164,85
1483,H,2.2,3.25,3.4,1,4,5,7,13,119,69,132,66,2,1,7,12,19,138,69,76,35
1484,D,1.91,3.6,4.0,6,1,3,20,12,120,64,102,56,6,3,1,18,6,154,86,117,62
1485,H,8.0,4.2,1.44,3,0,7,11,19,107,48,120,53,3,4,3,11,15,144,72,100,41
1486,D,1.73,3.6,5.0,4,2,4,16,12,134,67,159,77,2,4,4,10,14,96,54,108,49
1487,A,2.2,3.25,3.4,2,3,5,14,24,127,68,123,59,4,3,3,13,10,134,52,131,70
1488,H,2.63,3.25,2.75,1,6,3,11,16,135,58,116,58,6,3,1,19,13,147,69,141,69
1489,H,1.83,3.6,4.33,3,2,5,10,17,105,44,129,67,3,4,3,13,13,108,39,140,67
1490,H,3.4,3.25,2.2,4,1,5,15,21,99,52,119,62,5,1,4,14,10,132,58,113,55
1491,D,2.38,3.0,3.25,2,0,8,6,13,135,65,96,49,6,2,2,16,10,133,66,139,68
1492,H,1.91,3.3,4.2,6,1,3,18,11,151,78,121,67,4,4,2,12,8,115,46,118,60
1493,A,1.44,4.0,8.0,6,4,0,19,7,128,59,125,51,3,3,4,8,13,103,44,149,69
1494,H,1.8,3.4,4.6,3,4,3,12,11,153,65,109,53,7,0,3,17,10,134,64,100,47
1495,A,4.33,3.25,1.91,1,3,6,12,15,86,37,139,60,7,1,2,18,8,143,69,93,47
1496,D,2.88,2.9,2.7,2,4,4,10,18,102,45,140,76,4,2,4,10,10,97,57,134,61
1497,H,1.5,4.0,7.0,6,3,1,15,8,140,65,124,59,2,5,3,12,11,103,45,105,48
1498,A,13.0,6.5,1.2,2,3,5,6,17,99,51,125,62,10,0,0,38,5,139,75,59,26
1499,D,2.25,3.4,3.1,0,1,9,7,23,78,32,120,59,4,0,6,14,20,120,57,91,40
1500,H,3.1,3.1,2.4,4,3,3,11,10,123,46,112,55,7,2,1,19,10,134,73,130,62
1501,H,2.25,3.25,3.2,6,0,4,16,12,130,63,105,49,5,4,1,16,11,130,61,133,57
1502,A,3.75,3.3,2.0,1,5,4,11,15,113,49,111,56,4,3,3,15,12,147,60,103,46
1503,A,1.36,4.6,8.5,5,3,2,14,10,141,73,142,72,2,3,5,8,16,90,49,121,53
1504,D,2.5,3.2,2.88,1,4,5,7,13,118,56,123,68,6,1,3,18,10,154,76,115,59
1505,H,1.73,3.4,4.5,4,1,5,10,15,112,51,99,45,1,2,7,12,25,99,43,137,75
1506,H,1.29,5.5,10.0,9,0,1,26,11,138,68,94,47,6,2,2,19,9,117,57,81,34
1507,H,3.8,3.75,1.91,4,3,3,14,12,116,50,176,74,4,1,5,14,13,132,58,106,50
1508,A,2.38,3.4,2.88,4,3,3,16,16,112,50,72,43,8,1,1,21,4,136,52,77,40
1509,A,6.0,4.0,1.57,3,3,4,11,16,112,41,133,63,6,2,2,20,11,127,68,102,56
1510,H,1.33,5.0,10.0,6,3,1,18,6,151,85,122,64,3,0,7,10,18,103,48,120,58
1511,H,2.1,3.25,3.75,5,2,3,15,10,131,63,113,57,4,2,4,16,12,137,69,141,72
1512,D,2.5,3.25,2.88,2,5,3,10,13,91,50,114,52,2,3,5,9,12,116,65,131,64
1513,H,1.29,5.5,11.0,2,4,4,9,15,152,76,91,37,4,1,5,16,21,103,55,123,64
1514,A,2.1,3.4,3.4,3,1,6,9,13,85,41,122,57,4,3,3,13,14,124,57,113,52
1515,D,5.0,3.6,1.7,3,3,4,12,11,68,30,157,87,6,2,2,23,11,131,60,99,41
1516,D,1.7,3.4,5.5,6,0,4,15,11,117,57,107,50,4,3,3,10,9,106,59,131,61
1517,H,1.3,4.75,12.0,4,3,3,16,13,135,59,105,49,2,4,4,11,19,103,45,128,62
1518,H,1.53,3.8,6.5,6,1,3,19,11,110,55,84,37,1,3,6,6,15,78,36,117,57
1519,A,1.73,3.5,5.0,4,0,6,13,20,91,45,102,55,3,0,7,7,21,97,56,123,68
1520,H,1.67,3.6,5.25,4,1,5,14,19,123,60,90,39,2,3,5,8,17,93,47,103,52
1521,D,2.2,3.2,3.5,3,1,6,13,15,137,62,103,48,2,5,3,11,15,141,66,120,61
1522,D,2.2,3.25,3.4,5,2,3,13,9,137,53,114,61,3,2,5,14,17,108,46,130,66
1523,D,2.88,3.3,2.5,6,3,1,18,11,151,74,146,80,7,3,0,21,6,123,64,100,37
1524,D,2.4,3.2,3.1,2,6,2,11,12,100,45,165,81,2,2,6,13,24,122,65,120,55
1525,A,2.0,3.4,3.75,4,2,4,12,13,85,33,120,54,5,0,5,14,23,62,24,122,66
1526,H,1.36,4.5,9.0,5,3,2,16,14,124,59,135,59,1,2,7,7,19,95,44,138,56
1527,H,1.8,3.25,5.0,4,3,3,13,11,145,73,145,75,4,3,3,11,10,123,46,120,59
1528,D,6.5,3.8,1.53,3,2,5,8,15,95,52,128,56,7,1,2,17,7,139,67,86,48
1529,H,2.5,3.0,3.0,1,2,7,10,14,84,36,134,55,5,2,3,16,9,155,76,111,56
1530,D,10.0,6.0,1.25,1,2,7,12,27,94,40,125,62,9,0,1,24,12,138,67,96,45
1531,H,1.44,4.2,7.5,5,3,2,14,12,104,56,108,47,2,3,5,6,19,95,50,113,58
1532,H,1.08,10.0,23.0,10,0,0,40,4,128,67,60,27,0,2,8,8,22,83,33,120,59
1533,H,1.83,3.5,4.33,4,2,4,16,14,148,68,97,50,5,1,4,14,13,116,50,97,42
1534,H,1.53,4.0,6.0,4,3,3,12,13,121,56,110,53,3,2,5,10,15,76,30,116,52
1535,H,1.2,6.5,15.0,6,4,0,19,6,113,59,109,41,1,7,2,10,13,102,48,167,75
1536,H,1.2,6.5,15.0,6,2,2,21,11,134,73,93,52,2,5,3,10,13,85,43,120,56
1537,H,3.5,3.4,2.1,1,3,6,11,23,126,63,124,61,7,2,1,22,9,136,80,123,64
1538,D,1.5,4.0,7.5,2,5,3,12,16,126,61,128,72,3,2,5,11,19,100,39,137,69
1539,D,3.5,3.4,2.1,3,3,4,14,16,110,46,136,71,6,3,1,17,10,146,70,145,79
1540,A,3.4,3.2,2.25,3,0,7,12,20,105,50,117,60,3,1,6,14,16,149,75,100,42
1541,H,2.2,3.2,3.5,2,4,4,10,12,121,66,118,58,6,2,2,17,8,127,64,115,60
1542,A,2.5,3.25,2.88,4,3,3,14,12,106,47,176,77,4,3,3,11,10,134,56,113,58
1543,H,2.9,3.3,2.38,3,4,3,8,9,102,56,116,54,3,3,4,13,20,107,64,110,58
1544,H,1.95,3.1,4.33,4,3,3,12,12,112,50,141,61,1,5,4,12,16,118,51,108,57
1545,H,1.53,3.7,7.0,6,2,2,17,12,133,70,132,61,2,2,6,12,13,95,42,114,45
1546,H,1.07,11.0,23.0,10,0,0,42,5,118,61,59,25,2,3,5,6,15,96,47,102,52
1547,H,1.44,4.33,7.0,6,2,2,15,11,105,57,109,47,0,2,8,8,24,80,33,119,58
1548,H,2.25,3.3,3.25,4,1,5,14,19,93,46,129,62,2,1,7,12,20,144,71,79,35
1549,A,4.2,3.75,1.8,3,1,6,16,23,90,49,117,53,4,3,3,17,17,117,52,75,46
1550,H,3.2,3.25,2.25,2,1,7,12,22,117,59,122,57,5,2,3,21,15,134,57,101,44
1551,D,2.7,3.0,2.75,4,2,4,10,10,125,47,115,59,5,3,2,16,14,129,59,116,51
1552,H,3.0,3.0,2.5,2,4,4,11,20,105,46,128,60,4,3,3,13,11,151,76,132,64
1553,D,1.44,4.2,7.5,3,4,3,8,8,103,55,134,65,3,2,5,8,15,80,45,122,54
1554,H,2.9,3.3,2.38,1,2,7,6,20,85,40,108,50,5,1,4,18,13,130,58,105,56
1555,H,1.5,4.1,6.5,6,1,3,21,13,120,61,86,36,4,1,5,16,16,91,41,134,66
1556,H,1.17,7.0,15.0,8,1,1,22,12,137,68,100,46,5,0,5,13,15,125,54,85,35
1557,A,6.0,3.75,1.62,3,2,5,13,12,134,66,139,69,3,4,3,11,13,164,78,89,37
1558,A,8.0,5.0,1.36,4,2,4,13,12,114,53,176,76,6,4,0,22,5,115,55,109,40
1559,A,3.2,3.25,2.3,1,5,4,9,16,77,41,127,60,2,2,6,10,21,121,65,131,65
1560,H,1.53,3.8,7.0,4,1,5,17,14,152,76,102,42,3,3,4,12,12,123,66,111,52
1561,H,1.53,4.0,6.0,5,2,3,19,17,110,51,85,52,5,0,5,13,21,61,23,123,65
1562,A,4.75,4.0,1.67,3,2,5,12,22,88,49,106,57,6,3,1,24,10,133,62,95,43
1563,A,4.0,3.75,1.83,2,4,4,11,12,72,32,146,81,8,1,1,22,5,131,55,78,39
1564,A,4.75,3.3,1.8,0,5,5,9,17,122,56,102,51,7,2,1,16,4,143,68,88,45
1565,H,2.1,3.1,3.75,4,3,3,14,12,152,80,133,61,3,4,3,9,9,110,61,124,62
1566,A,1.8,3.25,5.0,5,0,5,13,15,121,52,91,39,2,2,6,7,17,91,43,109,50
1567,D,3.5,3.3,2.1,2,2,6,6,21,93,49,105,53,3,0,7,10,19,94,47,101,54
1568,A,1.53,3.8,6.5,3,0,7,16,18,105,55,99,47,3,1,6,12,17,84,38,116,54
1569,A,2.0,3.5,3.6,3,1,6,10,16,76,31,114,51,3,0,7,16,25,95,53,112,52
1570,H,1.57,3.6,6.5,5,1,4,13,11,111,53,101,42,3,3,4,9,10,116,46,117,58
1571,A,2.1,3.3,3.5,4,4,2,13,13,127,55,115,51,3,1,6,13,19,120,59,118,57
1572,H,1.91,3.3,4.2,2,1,7,6,12,139,69,103,54,5,3,2,14,11,116,49,141,58
1573,H,1.67,3.5,5.5,5,1,4,21,17,122,53,108,46,5,2,3,14,10,155,75,120,58
1574,A,1.83,3.5,4.33,5,1,4,18,12,117,53,93,48,5,1,4,14,15,119,51,86,36
1575,A,2.5,3.25,2.8,4,0,6,9,20,96,57,128,69,6,1,3,19,13,124,61,84,32
1576,H,9.0,5.0,1.33,1,3,6,8,18,82,38,115,59,8,1,1,21,12,132,66,88,42
1577,D,3.5,3.3,2.1,2,3,5,6,16,97,48,101,54,7,2,1,19,12,104,55,101,42
1578,H,1.33,5.0,9.5,7,3,0,25,7,120,58,106,39,3,2,5,12,20,115,62,140,68
1579,H,1.4,4.5,8.5,6,2,2,22,10,142,80,76,40,2,6,2,13,16,116,53,129,71
1580,A,5.5,3.6,1.67,5,2,3,11,9,135,57,117,60,3,4,3,14,13,157,77,93,40
1581,D,1.73,3.6,5.0,2,0,8,10,20,146,77,84,41,1,5,4,10,16,89,46,124,62
1582,D,1.57,3.6,6.5,7,2,1,15,3,141,71,88,41,4,3,3,14,12,152,83,122,59
1583,D,4.5,3.5,1.83,1,6,3,10,18,97,43,177,76,6,2,2,18,9,150,87,118,64
1584,H,1.83,3.5,4.5,2,2,6,8,15,128,65,145,76,3,0,7,12,21,103,46,119,62
1585,A,2.38,3.3,3.0,4,2,4,13,12,108,52,180,81,3,3,4,13,18,104,40,126,65
1586,H,1.62,3.75,6.0,4,1,5,15,14,144,73,106,47,5,2,3,14,8,122,60,115,60
1587,A,3.25,3.4,2.2,4,1,5,14,19,92,49,130,64,5,4,1,14,9,142,67,142,71
1588,H,2.1,3.3,3.6,3,3,4,11,9,121,67,117,55,3,3,4,15,17,106,43,139,70
1589,H,3.2,3.0,2.4,2,5,3,10,10,125,61,127,68,6,1,3,16,9,106,53,98,39
1590,H,2.1,3.1,3.75,2,4,4,8,11,100,54,129,66,2,1,7,6,11,137,66,100,48
1591,H,2.2,3.2,3.4,4,2,4,15,13,151,73,131,61,4,3,3,13,14,126,54,115,49
1592,A,8.0,4.0,1.44,0,2,8,7,21,84,38,133,54,6,0,4,23,18,134,61,113,48
1593,D,1.62,3.8,5.5,8,1,1,23,4,124,56,75,36,2,1,7,6,13,86,41,122,58
1594,H,1.57,4.0,6.0,5,4,1,12,7,137,65,148,78,3,1,6,7,13,121,61,146,75
1595,D,1.91,3.4,4.2,3,2,5,11,19,120,64,145,72,4,2,4,11,8,121,75,115,54
1596,H,1.44,4.5,7.0,2,5,3,12,16,111,52,134,72,4,1,5,14,15,114,58,170,81
1597,D,5.0,4.0,1.67,3,3,4,14,13,105,44,137,75,7,2,1,22,8,146,79,74,41
1598,H,1.4,4.5,8.5,6,2,2,19,10,151,89,115,62,2,1,7,12,21,152,76,82,42
1599,H,8.5,4.5,1.4,3,0,7,10,19,104,44,117,60,8,2,0,26,6,125,63,102,39
1600,H,2.1,3.2,3.75,4,2,4,12,10,116,57,119,63,5,2,3,11,10,126,54,124,66
1601,H,2.5,3.25,2.9,1,6,3,11,15,92,44,131,63,4,1,5,13,13,107,61,125,62
1602,A,2.88,3.3,2.4,3,0,7,16,25,101,53,121,53,3,0,7,15,17,114,57,102,49
1603,H,7.0,4.33,1.44,4,4,2,11,6,101,55,118,55,6,3,1,24,11,136,66,98,47
1604,A,3.0,3.0,2.5,2,1,7,11,15,103,41,117,48,3,3,4,12,16,130,60,101,42
1605,H,1.62,3.6,6.0,4,1,5,14,17,119,55,111,52,3,3,4,9,13,117,49,113,55
1606,H,1.14,7.5,17.0,10,0,0,40,4,118,64,53,24,4,1,5,15,14,112,53,93,49
1607,D,2.1,3.3,3.5,2,3,5,9,16,86,42,130,65,4,0,6,11,18,124,51,83,33
1608,A,2.0,3.5,3.75,3,3,4,13,18,103,41,140,69,1,6,3,10,18,101,45,170,75
1609,A,1.62,4.0,5.5,4,4,2,18,12,167,84,85,40,5,1,4,16,12,141,78,95,41
1610,D,2.1,3.4,3.4,4,1,5,13,16,85,39,119,56,3,1,6,9,15,86,34,117,48
1611,D,2.38,3.0,3.2,5,2,3,15,14,120,53,137,62,3,4,3,7,8,104,58,123,64
1612,H,1.91,3.4,4.0,7,0,3,26,17,135,64,117,52,6,2,2,17,10,129,68,144,64
1613,H,2.1,3.25,3.5,3,3,4,12,19,100,43,129,63,0,4,6,7,17,129,57,103,53
1614,D,1.75,3.5,4.75,4,3,3,13,11,139,79,129,63,3,5,2,11,7,121,58,125,64
1615,D,3.75,3.3,2.0,2,1,7,5,10,138,66,104,52,6,3,1,14,3,154,79,86,44
1616,H,1.44,4.2,7.5,6,3,1,18,13,101,53,101,44,3,2,5,12,15,66,34,128,56
1617,D,1.53,4.0,6.0,3,1,6,13,17,96,49,92,47,0,1,9,10,27,82,35,113,54
1618,H,1.17,6.5,19.0,7,1,2,20,13,141,71,88,46,4,0,6,15,16,82,34,138,67
1619,H,1.73,3.6,5.0,7,2,1,25,8,126,61,98,39,6,2,2,21,10,146,86,119,62
1620,H,1.22,6.0,15.0,6,3,1,22,10,139,77,87,47,4,0,6,11,18,97,45,125,62
1621,D,1.36,4.75,9.0,5,1,4,14,12,135,76,106,42,2,5,3,13,16,86,42,135,65
1622,A,2.75,3.25,2.6,4,2,4,12,13,119,52,132,68,5,4,1,12,7,134,65,142,79
1623,D,2.1,3.4,3.5,3,1,6,13,17,111,63,124,61,3,3,4,17,16,119,51,123,66
1624,H,2.5,3.2,2.9,2,6,2,9,15,97,39,172,77,4,2,4,12,12,126,57,113,59
1625,D,1.91,3.6,4.0,2,1,7,12,21,152,73,91,46,3,3,4,13,18,111,47,131,63
1626,D,3.25,3.4,2.2,3,1,6,15,19,117,61,177,90,3,3,4,13,18,122,65,146,75
1627,H,1.33,5.0,9.0,6,2,2,26,14,134,67,93,41,4,4,2,19,14,119,62,90,41
1628,D,5.5,3.8,1.62,1,1,8,6,19,96,50,127,60,8,1,1,22,3,129,64,75,33
1629,H,1.36,4.5,9.0,5,4,1,14,4,146,76,85,38,5,2,3,16,15,117,49,128,55
1630,A,2.25,3.1,3.4,6,1,3,19,14,131,69,151,72,6,1,3,16,9,95,51,95,37
1631,D,15.0,8.0,1.14,3,2,5,11,15,88,40,105,44,10,0,0,40,3,118,66,53,26
1632,H,3.0,3.4,2.3,1,4,5,5,17,86,42,101,51,2,2,6,11,17,90,42,87,44
1633,H,2.75,3.25,2.6,3,1,6,8,14,120,59,141,72,3,5,2,16,15,125,62,141,76
1634,D,1.73,3.75,4.5,3,2,5,12,21,87,49,115,62,5,0,5,13,16,65,26,117,62
1635,H,2.4,3.3,2.9,4,4,2,12,8,102,55,121,59,7,1,2,15,7,106,51,121,57
1636,H,2.88,3.0,2.6,4,2,4,14,16,118,55,103,42,8,0,2,30,18,136,71,119,54
1637,A,1.75,3.4,5.0,5,2,3,16,11,142,65,134,67,2,5,3,7,9,97,53,129,63
1638,H,2.1,3.1,3.8,3,2,5,9,15,116,49,117,59,4,2,4,12,18,93,40,129,62
1639,H,3.5,3.3,2.1,2,2,6,7,22,79,36,99,52,7,0,3,18,10,133,73,85,39
1640,A,7.0,4.33,1.44,4,0,6,9,19,101,59,131,72,7,1,2,19,13,154,76,88,41
1641,H,2.1,3.25,3.6,4,0,6,15,18,85,36,149,68,1,4,5,7,16,94,45,134,66
1642,D,5.0,3.6,1.73,4,3,3,12,8,123,78,110,51,4,3,3,17,12,164,75,86,41
1643,H,2.1,3.4,3.4,3,1,6,10,18,111,46,86,35,5,1,4,13,15,116,54,92,41
1644,A,2.6,3.2,2.8,3,5,2,10,15,99,38,160,68,3,4,3,16,13,120,52,111,61
1645,A,3.1,3.2,2.3,3,5,2,11,10,98,46,123,58,7,0,3,25,17,140,74,115,50
1646,A,2.63,3.0,2.88,3,2,5,9,14,113,47,113,58,1,2,7,5,11,134,61,107,53
1647,H,1.91,3.6,3.8,1,0,9,6,20,115,50,94,48,3,2,5,9,13,87,34,120,49
1648,H,1.25,5.5,12.0,7,2,1,21,4,134,69,75,34,3,3,4,9,15,111,55,109,57
1649,A,5.0,4.0,1.62,7,0,3,17,11,98,45,127,57,6,2,2,26,12,135,76,101,50
1650,H,1.4,4.5,8.0,8,0,2,26,15,138,72,119,50,1,1,8,7,17,111,44,112,48
1651,H,2.7,3.1,2.7,4,2,4,12,17,97,42,115,56,4,2,4,15,14,146,63,127,60
1652,D,1.44,4.33,7.0,7,2,1,19,12,110,59,96,43,3,3,4,12,12,77,33,109,47
1653,A,2.88,3.3,2.4,0,5,5,9,18,80,44,134,67,3,1,6,11,15,99,48,98,52
1654,D,1.85,3.4,4.5,1,2,7,11,23,164,82,99,48,3,0,7,8,18,87,40,127,64
1655,H,1.62,4.0,5.0,5,2,3,19,17,109,53,81,48,3,0,7,16,18,107,55,101,51
1656,H,1.4,4.33,8.0,6,1,3,14,8,91,45,95,39,0,3,7,6,17,132,57,96,54
1657,D,1.75,3.4,5.0,3,4,3,11,11,108,50,118,54,3,1,6,8,14,121,50,103,46
1658,H,2.5,3.1,2.9,2,2,6,6,10,134,58,107,52,5,1,4,17,16,130,71,138,61
1659,A,4.5,3.4,1.83,3,5,2,12,8,113,52,123,64,6,3,1,17,3,135,67,93,42
1660,H,5.5,3.75,1.62,2,3,5,8,16,79,46,126,58,4,2,4,12,15,117,54,101,44
1661,H,1.13,7.5,21.0,9,1,0,33,4,120,66,48,26,5,1,4,12,12,126,54,86,39
1662,H,1.57,3.8,6.0,2,2,6,12,18,94,47,74,38,2,2,6,10,17,70,34,127,56
1663,D,1.5,4.1,6.5,6,0,4,15,11,127,70,82,36,0,2,8,9,24,72,33,107,47
1664,H,2.05,3.3,3.6,5,0,5,15,15,103,46,155,70,3,1,6,9,17,106,46,93,39
1665,H,4.0,3.6,1.91,3,1,6,14,18,120,59,162,83,6,3,1,13,7,125,62,146,84
1666,H,1.3,5.25,10.0,6,3,1,22,9,141,77,80,43,4,1,5,11,12,124,54,111,57
1667,A,4.75,3.4,1.8,5,1,4,13,17,108,45,106,55,5,1,4,19,17,118,67,141,63
1668,H,1.8,3.75,4.2,2,4,4,11,14,77,35,150,86,2,0,8,16,28,101,53,119,56
1669,H,1.73,3.6,5.0,2,4,4,12,18,121,64,150,75,3,2,5,12,15,98,54,128,62
1670,H,1.73,3.6,5.0,3,4,3,15,16,120,62,134,72,4,1,5,13,15,122,56,127,58
1671,D,2.1,3.25,3.75,3,4,3,15,12,123,54,107,58,3,1,6,8,13,119,55,130,64
1672,H,1.83,3.6,4.33,3,1,6,9,16,83,36,141,72,3,1,6,16,19,118,58,162,82
1673,A,6.5,4.0,1.53,2,5,3,14,17,93,44,136,67,7,2,1,20,8,126,59,108,46
1674,A,1.73,3.6,4.75,6,2,2,26,13,141,79,105,56,7,2,1,19,4,137,70,72,33
1675,A,8.5,5.0,1.33,2,1,7,7,18,107,48,100,42,9,1,0,30,5,127,67,46,28
1676,D,2.1,3.4,3.4,4,1,5,10,12,95,48,103,51,3,2,5,12,15,91,44,71,37
1677,D,7.5,4.5,1.4,3,2,5,8,21,79,33,82,46,8,1,1,20,8,167,84,79,40
1678,H,3.4,3.3,2.2,3,4,3,15,18,111,47,136,67,5,2,3,14,10,135,77,111,46
1679,D,1.5,4.0,7.5,5,2,3,19,11,149,87,114,61,4,3,3,12,8,118,68,124,55
1680,D,3.1,3.4,2.25,3,2,5,13,22,91,51,103,55,6,2,2,20,13,114,55,82,48
1681,A,2.5,3.3,2.75,3,1,6,7,14,82,28,127,48,2,0,8,16,22,109,55,106,52
1682,H,2.5,3.0,3.0,0,2,8,5,17,129,52,97,58,3,2,5,9,11,137,61,106,54
1683,D,1.53,3.8,6.5,6,0,4,18,15,117,65,128,58,4,2,4,15,19,114,49,128,59
1684,A,3.8,3.3,2.0,2,2,6,5,14,117,45,113,49,8,0,2,24,14,137,75,123,54
1685,A,2.3,3.2,3.2,4,2,4,15,14,147,68,129,57,5,1,4,15,15,117,55,107,50
1686,H,2.38,3.0,3.2,1,0,9,7,18,116,48,114,51,4,3,3,12,10,129,72,124,58
1687,A,2.3,3.3,3.1,4,1,5,12,14,122,55,98,40,6,3,1,17,11,115,59,97,42
1688,D,2.8,3.25,2.5,2,4,4,8,16,82,38,109,56,5,1,4,15,12,124,68,81,33
1689,D,1.91,3.4,4.2,4,0,6,9,11,125,54,107,56,0,3,7,9,23,164,86,92,43
1690,H,1.85,3.4,4.33,0,3,7,9,23,71,29,101,43,1,3,6,11,25,89,39,142,72
1691,H,2.2,3.2,3.6,4,3,3,16,11,176,77,82,42,7,2,1,23,8,129,58,108,47
1692,A,2.1,3.3,3.5,4,0,6,9,16,101,57,134,73,2,1,7,7,18,107,48,100,41
1693,A,5.5,4.0,1.57,7,3,0,19,10,111,57,96,36,9,1,0,30,5,120,63,52,31
1694,D,2.7,3.25,2.6,5,1,4,17,15,111,45,121,64,4,2,4,12,12,94,47,96,44
1695,H,1.5,4.0,7.0,5,2,3,17,13,123,68,85,36,2,2,6,9,16,62,29,135,60
1696,D,2.38,3.25,3.0,1,2,7,10,26,81,33,143,68,2,4,4,9,17,83,39,111,61
1697,H,1.14,7.5,17.0,7,2,1,17,7,172,93,80,39,1,3,6,10,21,79,31,96,38
1698,H,1.33,5.0,9.0,7,2,1,20,5,136,72,76,35,5,4,1,16,9,109,59,115,56
