,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
0,H,3.5,3.3,2.1,1,3,6,11,16,137,67,0.529,117,53,0.47100000000000003,8,2,0,15,6,161,78,0.5289,72,30,0.4711000000000001,0.48905109489051096,0.16417910447761194,0.452991452991453,0.3018867924528302,0.484472049689441,0.19230769230769232,0.4166666666666667,0.2
1,H,3.25,3.25,2.3,5,2,3,19,12,189,89,0.59375,69,36,0.40625,6,3,1,19,8,169,95,0.6027500000000001,113,58,0.39725,0.4708994708994709,0.21348314606741572,0.5217391304347826,0.3333333333333333,0.5621301775147929,0.2,0.5132743362831859,0.13793103448275862
2,H,1.2,6.0,19.0,7,2,1,15,8,161,72,0.5236500000000001,74,31,0.4763500000000001,2,2,6,9,18,132,62,0.46675000000000005,139,71,0.53325,0.4472049689440994,0.20833333333333334,0.4189189189189189,0.25806451612903225,0.4696969696969697,0.14516129032258066,0.5107913669064749,0.2535211267605634
3,A,2.38,3.3,3.0,3,3,4,9,11,102,47,0.48214999999999997,133,77,0.5178499999999999,3,2,5,9,16,116,54,0.44933333333333336,131,64,0.5506666666666667,0.46078431372549017,0.19148936170212766,0.5789473684210527,0.14285714285714285,0.46551724137931033,0.16666666666666666,0.48854961832061067,0.25
4,A,2.6,3.25,2.8,4,1,5,15,16,125,63,0.4795,153,73,0.5205,4,3,3,13,16,103,51,0.47916666666666663,138,76,0.5208333333333334,0.504,0.23809523809523808,0.477124183006536,0.2191780821917808,0.49514563106796117,0.2549019607843137,0.5507246376811594,0.21052631578947367
5,A,2.25,3.25,3.4,6,2,2,17,15,88,38,0.45716666666666667,162,74,0.5428333333333334,2,2,6,7,12,128,64,0.4535,148,74,0.5465,0.4318181818181818,0.4473684210526316,0.4567901234567901,0.20270270270270271,0.5,0.109375,0.5,0.16216216216216217
6,D,1.8,3.4,5.0,3,2,5,12,14,126,61,0.5078333333333332,106,49,0.49216666666666664,3,1,6,10,17,75,34,0.47075,144,70,0.52925,0.48412698412698413,0.19672131147540983,0.46226415094339623,0.2857142857142857,0.4533333333333333,0.29411764705882354,0.4861111111111111,0.24285714285714285
7,A,2.25,3.3,3.3,3,1,6,20,18,125,69,0.5053500000000001,102,47,0.49465,2,3,5,12,15,139,70,0.5307499999999999,121,51,0.46925,0.552,0.2898550724637681,0.46078431372549017,0.3829787234042553,0.5035971223021583,0.17142857142857143,0.4214876033057851,0.29411764705882354
8,H,2.38,3.25,3.1,3,2,5,8,9,125,57,0.5205833333333334,129,62,0.4794166666666666,3,2,5,13,17,90,46,0.4726,126,50,0.5274000000000001,0.456,0.14035087719298245,0.4806201550387597,0.14516129032258066,0.5111111111111111,0.2826086956521739,0.3968253968253968,0.34
9,A,1.5,4.0,7.0,5,2,3,20,13,176,83,0.586,83,43,0.414,5,2,3,14,11,101,47,0.5216666666666666,141,69,0.47833333333333333,0.4715909090909091,0.24096385542168675,0.5180722891566265,0.3023255813953488,0.46534653465346537,0.2978723404255319,0.48936170212765956,0.15942028985507245
