,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
763,A,2.5,3.25,2.8,4,3,3,13,10,86,38,96,44,4,2,4,14,14,119,43,81,45,0.4418604651162791,0.34210526315789475,0.4583333333333333,0.22727272727272727,0.36134453781512604,0.32558139534883723,0.5555555555555556,0.3111111111111111
764,H,1.2,6.5,13.0,8,1,1,20,5,113,54,81,44,2,2,6,7,14,82,36,101,46,0.4778761061946903,0.37037037037037035,0.5432098765432098,0.11363636363636363,0.43902439024390244,0.19444444444444445,0.45544554455445546,0.30434782608695654
765,H,2.1,3.25,3.75,3,2,5,10,11,118,64,111,59,4,4,2,9,10,106,61,182,93,0.5423728813559322,0.15625,0.5315315315315315,0.1864406779661017,0.5754716981132075,0.14754098360655737,0.510989010989011,0.10752688172043011
766,H,1.95,3.25,4.33,3,3,4,10,15,103,47,92,42,2,4,4,12,17,127,57,120,58,0.4563106796116505,0.2127659574468085,0.45652173913043476,0.35714285714285715,0.44881889763779526,0.21052631578947367,0.48333333333333334,0.29310344827586204
767,A,3.75,3.5,2.0,1,4,5,11,18,124,62,118,62,4,4,2,10,4,145,74,96,50,0.5,0.1774193548387097,0.5254237288135594,0.2903225806451613,0.5103448275862069,0.13513513513513514,0.5208333333333334,0.08
768,D,2.4,3.3,3.0,6,1,3,19,12,95,40,101,37,6,2,2,11,5,117,62,88,46,0.42105263157894735,0.475,0.36633663366336633,0.32432432432432434,0.5299145299145299,0.1774193548387097,0.5227272727272727,0.10869565217391304
769,H,1.36,4.5,10.0,4,4,2,7,5,100,39,155,84,1,3,6,6,17,97,49,150,79,0.39,0.1794871794871795,0.5419354838709678,0.05952380952380952,0.5051546391752577,0.12244897959183673,0.5266666666666666,0.21518987341772153
770,D,2.25,3.25,3.2,2,5,3,10,11,117,65,75,40,6,4,0,25,9,116,53,65,32,0.5555555555555556,0.15384615384615385,0.5333333333333333,0.275,0.45689655172413796,0.4716981132075472,0.49230769230769234,0.28125
771,H,1.4,4.33,8.5,8,2,0,19,6,107,43,104,50,2,2,6,12,18,90,35,100,48,0.40186915887850466,0.4418604651162791,0.4807692307692308,0.12,0.3888888888888889,0.34285714285714286,0.48,0.375
772,A,4.2,3.3,1.91,2,3,5,12,17,88,42,150,69,4,2,4,16,15,120,66,66,34,0.4772727272727273,0.2857142857142857,0.46,0.2463768115942029,0.55,0.24242424242424243,0.5151515151515151,0.4411764705882353
773,H,1.3,5.5,9.0,8,1,1,26,6,171,91,64,31,3,2,5,12,16,79,43,90,39,0.5321637426900585,0.2857142857142857,0.484375,0.1935483870967742,0.5443037974683544,0.27906976744186046,0.43333333333333335,0.41025641025641024
774,H,2.7,3.4,2.5,0,3,7,9,23,81,33,132,70,5,2,3,18,11,84,32,102,53,0.4074074074074074,0.2727272727272727,0.5303030303030303,0.32857142857142857,0.38095238095238093,0.5625,0.5196078431372549,0.20754716981132076
775,H,1.57,4.0,5.5,5,3,2,17,10,138,80,91,35,4,1,5,11,14,105,46,115,54,0.5797101449275363,0.2125,0.38461538461538464,0.2857142857142857,0.4380952380952381,0.2391304347826087,0.46956521739130436,0.25925925925925924
776,H,1.2,6.5,15.0,6,2,2,26,10,160,75,100,48,3,4,3,11,9,113,56,130,54,0.46875,0.3466666666666667,0.48,0.20833333333333334,0.49557522123893805,0.19642857142857142,0.4153846153846154,0.16666666666666666
777,A,2.9,3.1,2.5,3,0,7,14,15,132,70,99,43,6,2,2,21,9,120,62,88,44,0.5303030303030303,0.2,0.43434343434343436,0.3488372093023256,0.5166666666666667,0.3387096774193548,0.5,0.20454545454545456
778,H,2.1,3.3,3.5,4,1,5,13,14,135,63,128,59,2,3,5,17,20,104,50,118,49,0.4666666666666667,0.20634920634920634,0.4609375,0.23728813559322035,0.4807692307692308,0.34,0.4152542372881356,0.40816326530612246
779,H,2.0,3.3,3.8,6,3,1,16,7,98,47,76,35,5,1,4,16,15,120,62,84,40,0.47959183673469385,0.3404255319148936,0.4605263157894737,0.2,0.5166666666666667,0.25806451612903225,0.47619047619047616,0.375
780,A,5.0,3.6,1.73,3,4,3,11,10,99,46,101,51,6,2,2,19,10,127,67,82,38,0.46464646464646464,0.2391304347826087,0.504950495049505,0.19607843137254902,0.5275590551181102,0.2835820895522388,0.4634146341463415,0.2631578947368421
781,A,1.44,4.33,7.5,6,3,1,21,8,168,80,72,44,6,2,2,19,9,94,39,92,35,0.47619047619047616,0.2625,0.6111111111111112,0.18181818181818182,0.4148936170212766,0.48717948717948717,0.3804347826086957,0.2571428571428571
782,H,1.91,3.3,4.33,3,4,3,9,12,101,58,178,90,1,4,5,9,18,116,61,117,61,0.5742574257425742,0.15517241379310345,0.5056179775280899,0.13333333333333333,0.5258620689655172,0.14754098360655737,0.5213675213675214,0.29508196721311475
783,A,2.0,3.4,3.8,1,2,7,7,21,97,46,152,79,1,2,7,7,20,105,56,133,57,0.4742268041237113,0.15217391304347827,0.5197368421052632,0.26582278481012656,0.5333333333333333,0.125,0.42857142857142855,0.3508771929824561
784,H,2.0,3.3,4.0,2,3,5,9,17,127,58,117,56,2,2,6,6,16,98,50,117,62,0.4566929133858268,0.15517241379310345,0.47863247863247865,0.30357142857142855,0.5102040816326531,0.12,0.5299145299145299,0.25806451612903225
785,D,1.36,4.75,8.5,6,4,0,27,11,117,55,65,33,2,3,5,10,16,88,37,114,54,0.4700854700854701,0.4909090909090909,0.5076923076923077,0.3333333333333333,0.42045454545454547,0.2702702702702703,0.47368421052631576,0.2962962962962963
786,H,1.62,3.75,5.5,4,1,5,13,17,93,40,105,43,4,2,4,11,17,86,36,93,45,0.43010752688172044,0.325,0.4095238095238095,0.3953488372093023,0.4186046511627907,0.3055555555555556,0.4838709677419355,0.37777777777777777
787,D,2.38,3.0,3.25,2,5,3,10,9,138,76,105,56,3,0,7,15,16,132,70,94,39,0.5507246376811594,0.13157894736842105,0.5333333333333333,0.16071428571428573,0.5303030303030303,0.21428571428571427,0.4148936170212766,0.41025641025641024
788,A,1.91,3.4,4.0,3,1,6,9,15,104,47,116,58,2,3,5,11,24,91,46,100,52,0.4519230769230769,0.19148936170212766,0.5,0.25862068965517243,0.5054945054945055,0.2391304347826087,0.52,0.46153846153846156
789,H,1.17,7.0,15.0,8,1,1,23,5,117,56,68,37,3,3,4,12,11,77,33,129,74,0.47863247863247865,0.4107142857142857,0.5441176470588235,0.13513513513513514,0.42857142857142855,0.36363636363636365,0.5736434108527132,0.14864864864864866
790,D,2.2,3.2,3.5,0,5,5,10,22,86,47,126,56,3,2,5,9,12,119,63,105,61,0.5465116279069767,0.2127659574468085,0.4444444444444444,0.39285714285714285,0.5294117647058824,0.14285714285714285,0.580952380952381,0.19672131147540983
791,H,2.0,3.4,4.0,4,4,2,10,4,141,80,97,52,6,3,1,16,7,109,54,96,46,0.5673758865248227,0.125,0.5360824742268041,0.07692307692307693,0.4954128440366973,0.2962962962962963,0.4791666666666667,0.15217391304347827
792,H,1.44,4.2,7.5,8,2,0,26,9,113,61,102,61,3,6,1,12,9,94,45,96,44,0.5398230088495575,0.4262295081967213,0.5980392156862745,0.14754098360655737,0.4787234042553192,0.26666666666666666,0.4583333333333333,0.20454545454545456
793,A,3.6,3.2,2.1,5,0,5,14,14,152,73,131,65,5,4,1,15,8,116,66,109,54,0.48026315789473684,0.1917808219178082,0.4961832061068702,0.2153846153846154,0.5689655172413793,0.22727272727272727,0.4954128440366973,0.14814814814814814
794,A,1.73,3.4,5.25,5,1,4,17,15,111,64,64,30,2,2,6,9,17,103,45,143,71,0.5765765765765766,0.265625,0.46875,0.5,0.4368932038834951,0.2,0.4965034965034965,0.23943661971830985
795,D,2.4,3.1,3.1,3,4,3,13,16,115,55,96,50,9,1,0,19,5,108,43,102,48,0.4782608695652174,0.23636363636363636,0.5208333333333334,0.32,0.39814814814814814,0.4418604651162791,0.47058823529411764,0.10416666666666667
796,H,1.91,3.4,4.0,3,2,5,14,21,74,39,92,36,5,2,3,12,11,86,37,113,56,0.527027027027027,0.358974358974359,0.391304347826087,0.5833333333333334,0.43023255813953487,0.32432432432432434,0.49557522123893805,0.19642857142857142
797,D,1.67,3.75,5.0,4,2,4,14,13,112,42,84,45,4,1,5,14,15,85,40,123,60,0.375,0.3333333333333333,0.5357142857142857,0.28888888888888886,0.47058823529411764,0.35,0.4878048780487805,0.25
798,H,2.5,3.3,2.75,4,2,4,14,12,87,35,106,55,6,2,2,18,10,134,82,94,39,0.40229885057471265,0.4,0.5188679245283019,0.21818181818181817,0.6119402985074627,0.21951219512195122,0.4148936170212766,0.2564102564102564
799,A,1.8,3.5,4.5,3,4,3,10,9,115,56,121,56,2,3,5,7,16,122,60,112,52,0.48695652173913045,0.17857142857142858,0.4628099173553719,0.16071428571428573,0.4918032786885246,0.11666666666666667,0.4642857142857143,0.3076923076923077
800,H,1.14,7.5,21.0,6,2,2,19,11,127,69,80,39,1,1,8,7,22,102,49,143,71,0.5433070866141733,0.2753623188405797,0.4875,0.28205128205128205,0.4803921568627451,0.14285714285714285,0.4965034965034965,0.30985915492957744
801,A,10.0,5.0,1.33,2,2,6,6,14,101,53,117,59,7,2,1,29,7,155,78,104,50,0.5247524752475248,0.11320754716981132,0.5042735042735043,0.23728813559322035,0.5032258064516129,0.3717948717948718,0.4807692307692308,0.14
802,D,2.0,3.5,3.5,2,5,3,12,13,110,61,75,39,5,1,4,14,16,95,43,100,41,0.5545454545454546,0.19672131147540983,0.52,0.3333333333333333,0.45263157894736844,0.32558139534883723,0.41,0.3902439024390244
803,D,8.0,4.0,1.44,1,4,5,8,15,79,33,105,49,9,1,0,26,8,116,65,108,61,0.4177215189873418,0.24242424242424243,0.4666666666666667,0.30612244897959184,0.5603448275862069,0.4,0.5648148148148148,0.13114754098360656
804,A,2.5,3.2,2.88,3,1,6,15,15,134,74,91,39,4,1,5,12,16,117,61,70,35,0.5522388059701493,0.20270270270270271,0.42857142857142855,0.38461538461538464,0.5213675213675214,0.19672131147540983,0.5,0.45714285714285713
805,D,2.3,3.2,3.2,8,2,0,20,7,110,43,103,46,7,2,1,23,9,103,48,98,52,0.39090909090909093,0.46511627906976744,0.44660194174757284,0.15217391304347827,0.46601941747572817,0.4791666666666667,0.5306122448979592,0.17307692307692307
806,D,11.0,5.75,1.25,1,2,7,8,21,82,36,129,69,8,1,1,23,6,121,58,64,32,0.43902439024390244,0.2222222222222222,0.5348837209302325,0.30434782608695654,0.4793388429752066,0.39655172413793105,0.5,0.1875
807,H,1.36,4.5,10.0,6,2,2,16,8,94,50,100,50,1,4,5,8,20,80,35,169,85,0.5319148936170213,0.32,0.5,0.16,0.4375,0.22857142857142856,0.5029585798816568,0.23529411764705882
808,D,1.4,4.5,8.0,6,4,0,17,8,120,67,120,58,4,2,4,17,20,77,39,92,37,0.5583333333333333,0.2537313432835821,0.48333333333333334,0.13793103448275862,0.5064935064935064,0.4358974358974359,0.40217391304347827,0.5405405405405406
809,H,2.15,3.2,3.5,2,2,6,9,16,82,40,116,60,2,5,3,10,9,122,66,112,64,0.4878048780487805,0.225,0.5172413793103449,0.26666666666666666,0.5409836065573771,0.15151515151515152,0.5714285714285714,0.140625
810,H,2.9,3.1,2.5,2,3,5,12,15,95,43,139,67,3,5,2,14,14,120,54,98,50,0.45263157894736844,0.27906976744186046,0.48201438848920863,0.22388059701492538,0.45,0.25925925925925924,0.5102040816326531,0.28
811,D,2.4,3.25,2.9,3,2,5,6,13,85,35,112,61,4,2,4,13,18,81,42,84,35,0.4117647058823529,0.17142857142857143,0.5446428571428571,0.21311475409836064,0.5185185185185185,0.30952380952380953,0.4166666666666667,0.5142857142857142
812,H,1.67,3.6,5.25,4,1,5,13,14,86,44,129,61,1,2,7,9,22,113,56,117,53,0.5116279069767442,0.29545454545454547,0.4728682170542636,0.22950819672131148,0.49557522123893805,0.16071428571428573,0.452991452991453,0.41509433962264153
813,D,2.5,3.3,2.8,3,3,4,12,20,88,42,101,57,5,2,3,17,11,98,42,91,49,0.4772727272727273,0.2857142857142857,0.5643564356435643,0.3508771929824561,0.42857142857142855,0.40476190476190477,0.5384615384615384,0.22448979591836735
814,H,6.5,3.8,1.57,1,3,6,7,17,117,59,111,59,5,3,2,9,4,107,55,83,42,0.5042735042735043,0.11864406779661017,0.5315315315315315,0.288135593220339,0.514018691588785,0.16363636363636364,0.5060240963855421,0.09523809523809523
815,D,1.57,3.8,6.0,5,2,3,17,13,128,80,105,45,2,2,6,6,16,79,34,107,50,0.625,0.2125,0.42857142857142855,0.28888888888888886,0.43037974683544306,0.17647058823529413,0.4672897196261682,0.32
816,H,2.1,3.25,3.75,0,6,4,10,20,81,45,121,55,3,2,5,8,16,126,62,117,55,0.5555555555555556,0.2222222222222222,0.45454545454545453,0.36363636363636365,0.49206349206349204,0.12903225806451613,0.4700854700854701,0.2909090909090909
817,A,2.38,3.25,3.1,2,2,6,8,19,108,56,123,53,3,4,3,8,11,98,57,177,89,0.5185185185185185,0.14285714285714285,0.43089430894308944,0.3584905660377358,0.5816326530612245,0.14035087719298245,0.5028248587570622,0.12359550561797752
818,D,2.5,3.3,2.88,1,1,8,8,23,99,47,155,73,3,4,3,12,12,90,43,100,54,0.47474747474747475,0.1702127659574468,0.47096774193548385,0.3150684931506849,0.4777777777777778,0.27906976744186046,0.54,0.2222222222222222
819,H,2.1,3.4,3.4,7,2,1,15,5,93,46,76,34,5,2,3,16,16,90,41,103,43,0.4946236559139785,0.32608695652173914,0.4473684210526316,0.14705882352941177,0.45555555555555555,0.3902439024390244,0.4174757281553398,0.37209302325581395
820,H,4.33,3.25,1.91,2,2,6,12,17,88,36,96,43,5,5,0,16,8,123,67,121,59,0.4090909090909091,0.3333333333333333,0.4479166666666667,0.3953488372093023,0.5447154471544715,0.23880597014925373,0.48760330578512395,0.13559322033898305
821,H,1.44,4.33,7.5,4,4,2,10,5,145,85,91,46,4,3,3,12,13,102,45,91,45,0.5862068965517241,0.11764705882352941,0.5054945054945055,0.10869565217391304,0.4411764705882353,0.26666666666666666,0.4945054945054945,0.28888888888888886
822,D,3.3,3.25,2.25,3,5,2,13,11,91,42,98,54,4,4,2,11,7,103,39,146,79,0.46153846153846156,0.30952380952380953,0.5510204081632653,0.2037037037037037,0.3786407766990291,0.28205128205128205,0.541095890410959,0.08860759493670886
823,A,7.5,4.5,1.4,1,4,5,9,22,79,34,164,84,6,2,2,18,11,137,74,78,38,0.43037974683544306,0.2647058823529412,0.5121951219512195,0.2619047619047619,0.5401459854014599,0.24324324324324326,0.48717948717948717,0.2894736842105263
824,D,3.0,3.25,2.4,4,3,3,9,11,100,58,164,87,7,1,2,20,8,95,52,97,48,0.58,0.15517241379310345,0.5304878048780488,0.12643678160919541,0.5473684210526316,0.38461538461538464,0.4948453608247423,0.16666666666666666
825,H,2.1,3.3,3.6,3,1,6,6,18,123,64,114,54,2,3,5,7,15,117,57,106,54,0.5203252032520326,0.09375,0.47368421052631576,0.3333333333333333,0.48717948717948717,0.12280701754385964,0.5094339622641509,0.2777777777777778
826,A,2.25,3.3,3.3,1,1,8,8,23,92,45,154,72,1,2,7,4,15,105,51,118,57,0.4891304347826087,0.17777777777777778,0.4675324675324675,0.3194444444444444,0.4857142857142857,0.0784313725490196,0.4830508474576271,0.2631578947368421
827,H,1.22,6.0,15.0,6,2,2,22,11,174,89,75,45,3,3,4,10,10,132,62,120,56,0.5114942528735632,0.24719101123595505,0.6,0.24444444444444444,0.4696969696969697,0.16129032258064516,0.4666666666666667,0.17857142857142858
828,A,2.8,3.4,2.4,4,1,5,11,13,104,54,115,54,2,3,5,12,18,84,39,136,62,0.5192307692307693,0.2037037037037037,0.46956521739130436,0.24074074074074073,0.4642857142857143,0.3076923076923077,0.45588235294117646,0.2903225806451613
829,A,2.0,3.2,4.0,3,5,2,14,13,114,52,94,48,2,1,7,13,16,138,74,86,39,0.45614035087719296,0.2692307692307692,0.5106382978723404,0.2708333333333333,0.5362318840579711,0.17567567567567569,0.45348837209302323,0.41025641025641024
830,D,1.62,3.6,5.5,4,2,4,12,11,119,45,85,44,4,2,4,11,12,71,30,112,53,0.37815126050420167,0.26666666666666666,0.5176470588235295,0.25,0.4225352112676056,0.36666666666666664,0.4732142857142857,0.22641509433962265
831,D,2.38,3.25,3.0,2,5,3,10,11,83,43,123,58,5,1,4,14,12,87,48,134,65,0.5180722891566265,0.23255813953488372,0.4715447154471545,0.1896551724137931,0.5517241379310345,0.2916666666666667,0.48507462686567165,0.18461538461538463
832,H,2.1,3.3,3.5,3,1,6,9,14,101,48,107,51,3,3,4,11,13,85,36,96,46,0.4752475247524752,0.1875,0.4766355140186916,0.27450980392156865,0.4235294117647059,0.3055555555555556,0.4791666666666667,0.2826086956521739
833,D,3.6,3.4,2.1,1,6,3,11,16,83,45,124,58,6,2,2,19,8,92,40,106,46,0.5421686746987951,0.24444444444444444,0.46774193548387094,0.27586206896551724,0.43478260869565216,0.475,0.4339622641509434,0.17391304347826086
834,H,1.22,6.0,15.0,7,2,1,27,6,151,73,105,52,3,2,5,9,12,109,58,108,63,0.48344370860927155,0.3698630136986301,0.49523809523809526,0.11538461538461539,0.5321100917431193,0.15517241379310345,0.5833333333333334,0.19047619047619047
835,H,2.0,3.4,3.75,5,4,1,23,12,119,57,59,29,2,6,2,11,10,93,42,102,47,0.4789915966386555,0.40350877192982454,0.4915254237288136,0.41379310344827586,0.45161290322580644,0.2619047619047619,0.46078431372549017,0.2127659574468085
836,A,2.75,3.3,2.5,1,4,5,6,16,109,53,86,42,2,5,3,14,15,118,67,76,39,0.48623853211009177,0.11320754716981132,0.4883720930232558,0.38095238095238093,0.5677966101694916,0.208955223880597,0.5131578947368421,0.38461538461538464
837,H,1.4,4.33,8.5,6,3,1,18,7,107,45,105,54,2,3,5,13,15,83,44,137,63,0.4205607476635514,0.4,0.5142857142857142,0.12962962962962962,0.5301204819277109,0.29545454545454547,0.45985401459854014,0.23809523809523808
838,D,1.36,4.5,9.0,5,1,4,12,14,112,61,74,36,1,0,9,9,26,114,51,94,53,0.5446428571428571,0.19672131147540983,0.4864864864864865,0.3888888888888889,0.4473684210526316,0.17647058823529413,0.5638297872340425,0.49056603773584906
839,A,10.0,5.25,1.29,1,1,8,9,24,111,56,118,57,8,1,1,30,5,151,77,68,34,0.5045045045045045,0.16071428571428573,0.4830508474576271,0.42105263157894735,0.5099337748344371,0.38961038961038963,0.5,0.14705882352941177
840,H,1.4,4.5,8.0,7,2,1,22,7,125,58,66,32,5,3,2,15,10,134,80,104,47,0.464,0.3793103448275862,0.48484848484848486,0.21875,0.5970149253731343,0.1875,0.4519230769230769,0.2127659574468085
841,H,1.25,5.5,13.0,5,3,2,9,3,110,56,83,43,1,2,7,7,21,107,58,123,55,0.509090909090909,0.16071428571428573,0.5180722891566265,0.06976744186046512,0.5420560747663551,0.1206896551724138,0.44715447154471544,0.38181818181818183
842,H,1.73,3.5,5.0,5,2,3,17,11,93,41,84,44,4,3,3,10,10,80,40,113,49,0.44086021505376344,0.4146341463414634,0.5238095238095238,0.25,0.5,0.25,0.4336283185840708,0.20408163265306123
843,A,3.6,3.3,2.1,2,2,6,6,18,120,60,105,56,3,5,2,9,7,105,41,140,77,0.5,0.1,0.5333333333333333,0.32142857142857145,0.3904761904761905,0.21951219512195122,0.55,0.09090909090909091
844,D,2.2,3.3,3.25,1,4,5,8,15,70,33,110,52,4,1,5,10,15,113,59,113,52,0.4714285714285714,0.24242424242424243,0.4727272727272727,0.28846153846153844,0.5221238938053098,0.1694915254237288,0.46017699115044247,0.28846153846153844
845,H,1.73,3.6,5.0,2,2,6,7,15,121,61,105,56,1,1,8,9,23,98,47,137,65,0.5041322314049587,0.11475409836065574,0.5333333333333333,0.26785714285714285,0.47959183673469385,0.19148936170212766,0.4744525547445255,0.35384615384615387
846,H,2.2,3.2,3.5,1,6,3,11,16,90,49,132,67,4,3,3,11,13,99,55,144,77,0.5444444444444444,0.22448979591836735,0.5075757575757576,0.23880597014925373,0.5555555555555556,0.2,0.5347222222222222,0.16883116883116883
847,H,1.25,5.75,13.0,7,1,2,18,10,149,76,78,35,2,3,5,9,14,123,58,134,61,0.5100671140939598,0.23684210526315788,0.44871794871794873,0.2857142857142857,0.4715447154471545,0.15517241379310345,0.4552238805970149,0.22950819672131148
848,D,1.4,4.33,9.0,3,5,2,10,8,105,43,137,76,2,2,6,6,14,104,53,121,59,0.4095238095238095,0.23255813953488372,0.5547445255474452,0.10526315789473684,0.5096153846153846,0.11320754716981132,0.48760330578512395,0.23728813559322035
849,H,2.2,3.2,3.5,1,2,7,8,23,102,53,128,56,1,4,5,9,21,74,31,166,82,0.5196078431372549,0.1509433962264151,0.4375,0.4107142857142857,0.4189189189189189,0.2903225806451613,0.4939759036144578,0.25609756097560976
850,H,1.53,3.8,7.0,6,2,2,20,10,81,47,94,43,4,1,5,10,16,120,63,120,57,0.5802469135802469,0.425531914893617,0.4574468085106383,0.23255813953488372,0.525,0.15873015873015872,0.475,0.2807017543859649
851,A,3.6,3.3,2.1,3,6,1,13,10,85,39,99,51,5,3,2,13,6,148,86,88,48,0.4588235294117647,0.3333333333333333,0.5151515151515151,0.19607843137254902,0.581081081081081,0.1511627906976744,0.5454545454545454,0.125
852,H,2.4,3.25,2.9,5,1,4,17,16,115,59,82,42,6,3,1,26,13,123,61,58,28,0.5130434782608696,0.288135593220339,0.5121951219512195,0.38095238095238093,0.4959349593495935,0.4262295081967213,0.4827586206896552,0.4642857142857143
853,H,1.75,3.4,5.0,7,3,0,18,7,100,41,105,44,5,0,5,16,16,157,76,131,70,0.41,0.43902439024390244,0.41904761904761906,0.1590909090909091,0.4840764331210191,0.21052631578947367,0.5343511450381679,0.22857142857142856
854,A,1.67,3.6,5.25,3,3,4,11,13,69,30,117,57,1,1,8,10,27,103,55,120,60,0.43478260869565216,0.36666666666666664,0.48717948717948717,0.22807017543859648,0.5339805825242718,0.18181818181818182,0.5,0.45
855,H,1.13,8.0,19.0,8,1,1,28,6,155,83,74,38,2,5,3,8,9,90,45,115,50,0.535483870967742,0.3373493975903614,0.5135135135135135,0.15789473684210525,0.5,0.17777777777777778,0.43478260869565216,0.18
856,D,7.5,4.33,1.44,4,3,3,13,14,99,43,97,47,7,1,2,26,12,171,85,71,41,0.43434343434343436,0.3023255813953488,0.4845360824742268,0.2978723404255319,0.49707602339181284,0.3058823529411765,0.5774647887323944,0.2926829268292683
857,A,3.1,3.25,2.38,3,2,5,8,13,114,60,121,68,5,3,2,18,9,99,49,112,50,0.5263157894736842,0.13333333333333333,0.5619834710743802,0.19117647058823528,0.494949494949495,0.3673469387755102,0.44642857142857145,0.18
858,H,1.67,3.75,5.5,7,2,1,25,6,165,80,102,52,5,3,2,11,4,115,55,83,43,0.48484848484848486,0.3125,0.5098039215686274,0.11538461538461539,0.4782608695652174,0.2,0.5180722891566265,0.09302325581395349
859,D,2.3,3.3,3.1,1,6,3,10,13,90,43,106,50,8,1,1,15,4,90,41,73,35,0.4777777777777778,0.23255813953488372,0.4716981132075472,0.26,0.45555555555555555,0.36585365853658536,0.4794520547945205,0.11428571428571428
860,H,2.6,3.1,2.8,2,2,6,6,17,95,39,122,66,4,2,4,14,17,108,54,83,40,0.4105263157894737,0.15384615384615385,0.5409836065573771,0.25757575757575757,0.5,0.25925925925925924,0.4819277108433735,0.425
861,D,1.57,3.6,6.5,6,3,1,16,7,121,50,99,53,3,5,2,14,14,116,54,90,45,0.4132231404958678,0.32,0.5353535353535354,0.1320754716981132,0.46551724137931033,0.25925925925925924,0.5,0.3111111111111111
862,A,11.0,5.25,1.29,3,3,4,12,20,90,46,92,52,7,2,1,24,7,127,62,68,35,0.5111111111111111,0.2608695652173913,0.5652173913043478,0.38461538461538464,0.4881889763779528,0.3870967741935484,0.5147058823529411,0.2
863,H,1.57,3.75,6.0,5,2,3,15,13,125,78,103,50,1,2,7,9,22,77,32,134,72,0.624,0.19230769230769232,0.4854368932038835,0.26,0.4155844155844156,0.28125,0.5373134328358209,0.3055555555555556
864,A,1.83,3.5,4.33,5,3,2,17,10,100,50,109,50,7,1,2,20,8,91,53,95,42,0.5,0.34,0.45871559633027525,0.2,0.5824175824175825,0.37735849056603776,0.4421052631578947,0.19047619047619047
865,A,12.0,5.0,1.3,2,2,6,10,21,106,53,123,51,6,2,2,25,12,169,82,74,40,0.5,0.18867924528301888,0.4146341463414634,0.4117647058823529,0.48520710059171596,0.3048780487804878,0.5405405405405406,0.3
866,H,2.0,3.25,4.0,4,3,3,13,14,97,43,102,52,3,3,4,11,16,109,59,139,76,0.44329896907216493,0.3023255813953488,0.5098039215686274,0.2692307692307692,0.5412844036697247,0.1864406779661017,0.5467625899280576,0.21052631578947367
867,D,1.53,3.8,7.0,3,6,1,12,7,116,48,129,72,2,5,3,12,15,90,48,133,71,0.41379310344827586,0.25,0.5581395348837209,0.09722222222222222,0.5333333333333333,0.25,0.5338345864661654,0.2112676056338028
868,H,5.0,3.25,1.8,2,2,6,9,18,88,41,125,63,5,4,1,13,8,116,52,101,55,0.4659090909090909,0.21951219512195122,0.504,0.2857142857142857,0.4482758620689655,0.25,0.5445544554455446,0.14545454545454545
869,A,4.5,3.3,1.83,3,3,4,13,14,87,40,130,65,8,2,0,20,7,106,45,103,42,0.45977011494252873,0.325,0.5,0.2153846153846154,0.42452830188679247,0.4444444444444444,0.4077669902912621,0.16666666666666666
870,H,1.13,8.0,19.0,8,1,1,27,8,128,58,71,33,4,2,4,9,10,83,42,115,49,0.453125,0.46551724137931033,0.4647887323943662,0.24242424242424243,0.5060240963855421,0.21428571428571427,0.4260869565217391,0.20408163265306123
871,H,2.45,3.0,3.1,2,6,2,14,15,116,55,86,43,3,2,5,12,17,119,57,88,43,0.47413793103448276,0.2545454545454545,0.5,0.3488372093023256,0.4789915966386555,0.21052631578947367,0.48863636363636365,0.3953488372093023
872,A,9.0,4.75,1.36,4,1,5,12,12,95,46,94,40,9,0,1,31,7,156,83,77,40,0.4842105263157895,0.2608695652173913,0.425531914893617,0.3,0.532051282051282,0.37349397590361444,0.5194805194805194,0.175
873,H,1.85,3.5,4.0,5,2,3,16,10,96,48,89,48,4,2,4,12,11,98,52,132,65,0.5,0.3333333333333333,0.5393258426966292,0.20833333333333334,0.5306122448979592,0.23076923076923078,0.49242424242424243,0.16923076923076924
874,H,1.2,6.0,17.0,5,3,2,13,7,143,84,91,50,2,1,7,9,25,102,48,123,51,0.5874125874125874,0.15476190476190477,0.5494505494505495,0.14,0.47058823529411764,0.1875,0.4146341463414634,0.49019607843137253
875,A,8.5,4.5,1.4,4,1,5,8,14,117,63,121,58,8,1,1,26,6,156,71,97,48,0.5384615384615384,0.12698412698412698,0.4793388429752066,0.2413793103448276,0.4551282051282051,0.36619718309859156,0.4948453608247423,0.125
876,A,2.1,3.3,3.6,2,3,5,9,14,127,60,122,56,2,6,2,11,10,84,38,102,54,0.47244094488188976,0.15,0.45901639344262296,0.25,0.4523809523809524,0.2894736842105263,0.5294117647058824,0.18518518518518517
877,D,3.8,3.4,2.0,2,3,5,8,13,101,53,130,63,7,1,2,20,8,87,52,100,47,0.5247524752475248,0.1509433962264151,0.4846153846153846,0.20634920634920634,0.5977011494252874,0.38461538461538464,0.47,0.1702127659574468
