,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
145,H,1.25,5.5,13.0,9,1,0,17,0,166,88,99,40,2,4,4,13,15,110,61,95,37,0.5301204819277109,0.19318181818181818,0.40404040404040403,0.0,0.5545454545454546,0.21311475409836064,0.3894736842105263,0.40540540540540543
146,D,1.4,4.33,9.0,4,6,0,11,6,112,51,87,48,4,3,3,14,9,115,64,133,68,0.45535714285714285,0.21568627450980393,0.5517241379310345,0.125,0.5565217391304348,0.21875,0.5112781954887218,0.1323529411764706
147,A,3.3,3.3,2.25,8,2,0,18,8,114,55,111,59,4,4,2,11,9,191,111,104,54,0.4824561403508772,0.32727272727272727,0.5315315315315315,0.13559322033898305,0.581151832460733,0.0990990990990991,0.5192307692307693,0.16666666666666666
148,D,2.4,3.25,3.0,0,3,7,3,15,87,46,178,90,4,3,3,8,5,119,51,111,46,0.5287356321839081,0.06521739130434782,0.5056179775280899,0.16666666666666666,0.42857142857142855,0.1568627450980392,0.4144144144144144,0.10869565217391304
149,H,2.3,3.3,3.1,2,1,7,9,20,101,44,137,77,4,3,3,14,10,131,68,158,91,0.43564356435643564,0.20454545454545456,0.5620437956204379,0.2597402597402597,0.5190839694656488,0.20588235294117646,0.5759493670886076,0.10989010989010989
150,D,2.5,3.25,2.87,2,2,6,8,16,87,40,153,80,1,2,7,9,19,124,64,125,62,0.45977011494252873,0.2,0.5228758169934641,0.2,0.5161290322580645,0.140625,0.496,0.3064516129032258
151,A,1.22,5.75,13.0,9,1,0,30,9,142,75,41,23,1,5,4,11,15,94,49,158,74,0.528169014084507,0.4,0.5609756097560976,0.391304347826087,0.5212765957446809,0.22448979591836735,0.46835443037974683,0.20270270270270271
152,H,2.0,3.3,3.75,5,2,3,13,10,152,65,111,57,3,6,1,18,14,107,57,123,66,0.4276315789473684,0.2,0.5135135135135135,0.17543859649122806,0.5327102803738317,0.3157894736842105,0.5365853658536586,0.21212121212121213
153,D,1.57,3.75,7.0,5,5,0,21,9,155,81,63,33,3,2,5,11,11,136,63,120,58,0.5225806451612903,0.25925925925925924,0.5238095238095238,0.2727272727272727,0.4632352941176471,0.1746031746031746,0.48333333333333334,0.1896551724137931
154,D,2.87,3.25,2.5,3,4,3,15,18,105,54,136,70,5,3,2,13,6,101,53,98,58,0.5142857142857142,0.2777777777777778,0.5147058823529411,0.2571428571428571,0.5247524752475248,0.24528301886792453,0.5918367346938775,0.10344827586206896
155,H,1.8,3.5,4.75,2,5,3,10,11,97,49,155,82,3,2,5,13,20,121,61,133,76,0.5051546391752577,0.20408163265306123,0.5290322580645161,0.13414634146341464,0.5041322314049587,0.21311475409836064,0.5714285714285714,0.2631578947368421
156,D,2.4,3.25,2.9,4,0,6,13,20,80,44,142,77,4,2,4,17,19,114,61,116,54,0.55,0.29545454545454547,0.5422535211267606,0.2597402597402597,0.5350877192982456,0.2786885245901639,0.46551724137931033,0.35185185185185186
157,A,3.0,3.3,2.37,1,4,5,10,21,117,60,156,74,2,4,4,9,10,137,79,104,48,0.5128205128205128,0.16666666666666666,0.47435897435897434,0.28378378378378377,0.5766423357664233,0.11392405063291139,0.46153846153846156,0.20833333333333334
158,D,1.4,4.33,9.0,3,7,0,10,6,117,56,76,43,3,4,3,12,11,114,57,148,83,0.47863247863247865,0.17857142857142858,0.5657894736842105,0.13953488372093023,0.5,0.21052631578947367,0.5608108108108109,0.13253012048192772
159,H,1.5,4.0,7.5,4,4,2,12,6,111,55,87,53,3,1,6,12,21,118,61,150,84,0.4954954954954955,0.21818181818181817,0.6091954022988506,0.11320754716981132,0.5169491525423728,0.19672131147540983,0.56,0.25
160,H,5.5,3.5,1.72,0,4,6,2,13,86,43,177,92,5,5,0,22,10,149,77,64,34,0.5,0.046511627906976744,0.519774011299435,0.14130434782608695,0.5167785234899329,0.2857142857142857,0.53125,0.29411764705882354
161,H,1.28,5.0,13.0,4,4,2,10,9,201,116,99,52,4,4,2,8,4,121,52,106,46,0.5771144278606966,0.08620689655172414,0.5252525252525253,0.17307692307692307,0.4297520661157025,0.15384615384615385,0.4339622641509434,0.08695652173913043
162,A,2.75,3.25,2.6,4,1,5,13,17,113,61,114,52,5,2,3,10,7,152,64,102,53,0.5398230088495575,0.21311475409836064,0.45614035087719296,0.3269230769230769,0.42105263157894735,0.15625,0.5196078431372549,0.1320754716981132
163,A,4.5,3.5,1.8,1,5,4,12,16,87,47,162,73,8,0,2,19,7,132,71,120,64,0.5402298850574713,0.2553191489361702,0.4506172839506173,0.2191780821917808,0.5378787878787878,0.2676056338028169,0.5333333333333333,0.109375
164,H,2.5,3.25,2.87,4,3,3,15,10,134,72,155,88,3,3,4,12,11,135,66,127,57,0.5373134328358209,0.20833333333333334,0.567741935483871,0.11363636363636363,0.4888888888888889,0.18181818181818182,0.44881889763779526,0.19298245614035087
165,H,2.0,3.3,4.0,3,1,6,11,19,92,42,146,82,3,4,3,15,18,99,49,137,70,0.45652173913043476,0.2619047619047619,0.5616438356164384,0.23170731707317074,0.494949494949495,0.30612244897959184,0.5109489051094891,0.2571428571428571
166,A,2.87,3.25,2.5,1,3,6,10,22,123,58,151,72,2,4,4,12,14,116,65,104,40,0.4715447154471545,0.1724137931034483,0.4768211920529801,0.3055555555555556,0.5603448275862069,0.18461538461538463,0.38461538461538464,0.35
167,D,1.8,3.25,5.0,8,2,0,21,8,140,49,102,41,6,2,2,16,10,133,65,114,42,0.35,0.42857142857142855,0.4019607843137255,0.1951219512195122,0.48872180451127817,0.24615384615384617,0.3684210526315789,0.23809523809523808
168,H,3.75,3.6,1.9,3,5,2,14,11,113,61,116,59,8,1,1,27,11,144,76,40,22,0.5398230088495575,0.22950819672131148,0.5086206896551724,0.1864406779661017,0.5277777777777778,0.35526315789473684,0.55,0.5
169,D,2.5,3.25,2.8,1,2,7,11,20,131,61,130,68,1,6,3,16,18,120,61,115,58,0.46564885496183206,0.18032786885245902,0.5230769230769231,0.29411764705882354,0.5083333333333333,0.26229508196721313,0.5043478260869565,0.3103448275862069
