,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
1301,H,1.22,6.0,15.0,4,6,0,18,11,141,67,495,128,53,415,3,4,3,9,10,116,58,445,88,38,464
1302,A,1.62,4.0,5.5,6,1,3,17,10,167,96,487,114,69,423,4,3,3,16,15,175,88,478,128,62,432
1303,H,1.57,3.8,6.5,3,3,4,8,12,129,65,452,122,53,458,1,6,3,10,13,127,57,444,146,74,466
1304,H,2.1,3.3,3.6,3,5,2,16,16,112,51,426,137,58,483,4,2,4,14,12,107,55,501,87,43,409
1305,A,2.2,3.2,3.5,3,4,3,15,15,121,55,415,128,60,495,5,1,4,13,13,124,49,425,116,56,485
1306,H,2.5,3.3,2.88,3,2,5,13,18,123,49,441,151,66,468,1,1,8,9,20,95,55,461,161,83,449
1307,D,3.0,3.4,2.3,5,1,4,17,18,115,49,470,70,43,440,4,3,3,13,9,139,66,582,91,38,328
1308,H,1.57,3.75,6.0,7,2,1,17,9,118,62,521,107,55,389,4,1,5,11,11,123,69,458,106,53,450
1309,H,1.8,3.25,5.0,5,3,2,14,10,141,65,507,122,55,402,1,1,8,10,24,134,68,410,120,68,499
1310,D,2.0,3.5,3.6,6,2,2,23,15,112,58,444,84,44,465,5,2,3,15,11,97,53,488,108,48,421
1311,A,12.0,5.5,1.25,1,4,5,10,16,91,43,407,149,78,503,8,1,1,22,8,152,81,632,53,28,278
1312,H,1.17,7.0,15.0,9,1,0,28,5,165,86,550,73,27,360,4,1,5,18,18,102,48,435,113,55,475
1313,H,2.3,3.25,3.25,3,3,4,12,14,94,52,409,139,72,501,2,5,3,11,12,117,53,463,148,75,446
1314,A,3.2,3.1,2.4,2,5,3,9,9,119,60,441,129,64,469,5,3,2,12,9,137,68,450,101,46,460
1315,A,1.53,4.0,6.0,4,1,5,17,15,100,56,449,105,48,459,2,5,3,7,9,88,49,409,113,55,501
1316,A,2.8,3.0,2.7,3,1,6,9,10,123,65,449,110,51,459,5,4,1,22,11,147,77,455,104,53,455
1317,H,4.2,3.2,1.95,1,3,6,7,13,96,47,411,122,61,498,4,4,2,11,6,164,69,537,99,47,373
1318,A,3.0,3.0,2.5,2,3,5,8,17,99,52,385,144,59,523,2,6,2,9,9,96,39,413,131,60,497
1319,H,1.5,3.75,7.5,4,2,4,16,14,149,67,450,118,69,459,2,5,3,10,15,104,43,415,144,73,494
1320,D,2.63,3.0,2.88,3,2,5,9,12,98,45,452,141,66,456,7,1,2,14,8,108,47,463,127,58,447
1321,A,1.67,3.75,5.0,5,2,3,16,16,126,67,456,89,54,454,4,2,4,10,12,93,42,422,105,55,487
1322,D,2.6,3.2,2.8,4,5,1,12,9,136,54,440,138,63,469,2,5,3,12,11,157,85,486,112,50,424
1323,D,1.8,3.5,4.5,5,1,4,21,18,106,43,454,114,61,456,2,4,4,11,13,75,38,416,120,67,494
1324,H,1.25,5.5,13.0,4,6,0,17,11,138,67,497,130,54,413,4,3,3,13,12,89,46,410,141,75,500
1325,H,2.0,3.5,3.75,1,6,3,9,13,125,56,434,151,74,476,2,4,4,8,12,112,55,429,86,35,480
1326,A,3.4,3.3,2.2,2,5,3,10,12,124,60,464,143,71,445,5,1,4,15,12,157,89,482,114,66,428
1327,A,1.57,3.8,6.5,2,6,2,14,12,149,77,480,110,47,430,3,3,4,14,17,122,57,423,119,56,487
1328,H,2.6,3.2,2.8,1,1,8,9,20,102,54,471,149,75,439,3,6,1,13,11,133,52,442,142,63,467
1329,D,2.0,3.3,4.0,1,5,4,8,12,114,56,430,130,63,480,1,5,4,8,12,95,47,443,151,88,466
1330,D,1.57,4.2,5.5,4,5,1,20,13,120,51,442,121,46,467,3,2,5,13,19,126,49,439,151,61,470
1331,D,3.4,3.25,2.2,6,1,3,16,11,119,49,433,113,58,477,6,2,2,15,9,123,60,454,110,51,456
1332,H,1.36,4.75,8.0,4,4,2,14,8,125,60,574,99,43,336,5,2,3,15,11,88,33,462,104,53,447
1333,H,1.29,5.5,9.5,9,1,0,26,4,147,67,485,79,36,425,4,2,4,18,21,89,47,396,107,48,514
1334,D,3.6,3.1,2.15,3,5,2,9,8,98,39,413,124,55,497,8,1,1,17,8,129,66,511,106,56,399
1335,D,1.67,3.6,5.5,6,3,1,21,8,138,70,457,116,57,453,4,1,5,11,11,125,73,452,119,58,457
1336,A,1.67,3.75,5.0,4,2,4,13,17,124,61,469,99,57,441,5,2,3,20,15,117,45,475,106,57,435
1337,A,3.25,3.25,2.2,1,5,4,10,14,70,38,388,134,71,522,6,3,1,23,12,120,60,466,78,40,443
1338,A,1.62,3.6,6.0,4,2,4,14,14,123,59,429,116,64,480,3,2,5,5,12,103,58,422,110,59,487
1339,H,2.0,3.4,3.8,5,2,3,18,16,169,85,471,125,60,439,4,3,3,11,9,135,67,473,121,53,437
1340,D,5.0,3.6,1.73,4,2,4,15,15,100,48,488,100,48,422,6,1,3,14,8,157,74,494,108,51,416
1341,D,2.8,3.3,2.45,3,4,3,8,9,97,51,417,117,58,493,5,1,4,19,10,63,26,412,162,83,498
1342,H,1.67,3.5,5.5,3,4,3,10,7,166,70,536,99,48,374,3,3,4,8,10,92,38,448,147,67,460
1343,H,2.5,3.0,3.0,1,1,8,10,25,153,79,414,118,61,495,5,2,3,18,12,144,64,440,114,64,469
1344,H,2.6,3.0,2.9,5,1,4,17,14,147,77,450,132,65,460,6,2,2,14,8,140,64,504,126,63,405
1345,D,1.67,3.5,5.5,7,2,1,15,7,114,56,461,129,59,449,3,4,3,13,11,97,42,407,102,48,503
1346,H,1.33,5.0,9.0,4,3,3,13,11,86,45,474,105,47,435,1,4,5,10,22,95,40,392,150,84,518
1347,H,1.73,3.6,4.75,4,1,5,18,21,99,54,428,118,55,482,1,2,7,5,15,84,38,428,134,68,481
1348,H,1.73,3.75,4.5,5,2,3,11,9,106,47,430,104,52,479,1,1,8,11,20,73,28,357,131,63,552
1349,H,2.1,3.3,3.5,9,1,0,30,6,151,83,635,60,27,275,9,1,0,32,6,159,83,542,80,35,368
1350,H,2.7,3.1,2.7,6,3,1,13,7,119,60,463,124,60,447,3,4,3,11,9,157,66,544,106,51,366
1351,H,1.29,5.25,12.0,6,0,4,18,13,157,91,495,101,61,415,1,5,4,8,12,122,58,423,132,63,487
1352,H,1.53,4.0,6.5,5,3,2,14,10,124,62,448,119,58,462,4,5,1,21,14,127,54,449,118,44,460
1353,H,1.73,3.6,5.0,4,2,4,13,18,87,45,405,129,69,505,2,1,7,11,19,109,57,482,139,67,427
1354,D,3.5,3.4,2.1,1,5,4,9,13,86,46,447,151,83,462,5,2,3,17,16,163,79,471,136,61,439
1355,D,2.75,3.2,2.63,2,4,4,9,13,110,59,429,87,37,480,5,2,3,15,11,118,48,438,114,59,472
1356,D,1.36,4.75,9.0,5,2,3,12,8,162,79,490,102,49,420,2,5,3,12,13,131,67,476,103,46,434
1357,H,3.4,3.4,2.1,1,1,8,9,19,85,38,511,111,48,399,5,3,2,18,9,132,60,588,97,42,322
1358,D,2.0,3.6,3.5,4,2,4,16,11,67,27,411,162,86,499,5,2,3,16,18,102,54,464,108,55,445
1359,D,3.2,3.1,2.3,2,2,6,9,14,99,49,402,133,66,507,6,2,2,14,9,142,69,503,133,68,406
1360,H,1.4,4.5,7.5,8,1,1,30,10,152,77,529,81,36,381,4,3,3,13,11,87,46,477,94,40,432
1361,A,15.0,6.0,1.2,1,2,7,5,15,83,36,428,130,62,481,9,1,0,33,5,148,76,632,60,24,278
1362,H,1.83,3.5,4.5,3,5,2,14,13,129,50,431,141,64,477,2,5,3,11,13,123,56,436,148,78,474
1363,H,2.25,3.3,3.25,3,3,4,15,17,113,54,431,120,56,479,3,3,4,15,16,95,47,483,109,56,427
1364,A,3.4,3.2,2.2,3,5,2,13,9,94,43,404,109,53,506,5,4,1,18,9,144,73,459,118,57,451
1365,H,2.5,3.0,3.0,3,3,4,9,13,97,41,448,139,60,460,2,1,7,11,23,139,71,412,119,58,497
1366,H,1.91,3.1,4.5,4,2,4,11,10,118,72,448,128,63,461,1,3,6,14,17,83,37,438,140,62,472
1367,H,1.73,3.25,5.5,3,6,1,9,7,94,39,411,130,65,499,1,1,8,6,20,96,46,449,112,48,459
1368,H,2.0,3.4,3.75,5,2,3,20,15,116,46,467,115,63,443,6,2,2,13,8,100,46,432,100,49,477
1369,H,1.83,3.5,4.2,6,3,1,24,12,122,60,465,84,40,444,4,1,5,14,20,118,56,469,100,58,441
1370,H,1.62,3.75,6.0,3,3,4,11,11,141,62,465,124,55,445,2,4,4,11,15,114,55,447,143,71,462
1371,H,2.1,3.2,3.6,4,2,4,17,14,142,63,445,109,60,464,6,0,4,19,14,148,79,433,150,74,477
1372,H,2.4,3.1,3.1,2,5,3,11,16,107,45,435,140,75,474,1,3,6,9,16,105,53,396,133,68,513
1373,A,4.5,3.6,1.8,1,5,4,10,14,110,49,420,145,76,490,5,3,2,14,10,134,65,456,112,59,454
1374,H,2.1,3.3,3.6,1,4,5,9,17,113,53,447,141,66,462,3,3,4,15,16,125,56,443,103,46,467
1375,D,1.4,4.5,9.0,2,6,2,13,13,133,64,475,109,49,435,2,4,4,11,15,111,56,435,83,37,474
1376,H,3.8,3.4,2.0,3,3,4,15,17,94,44,469,119,60,441,4,2,4,14,11,137,57,464,115,55,446
1377,D,2.2,3.25,3.4,1,4,5,9,14,119,58,424,129,61,486,4,4,2,13,11,138,57,441,136,62,467
1378,A,1.62,4.0,5.5,5,2,3,16,12,114,49,438,115,59,472,3,3,4,15,17,127,51,449,149,61,460
1379,H,1.57,4.2,5.25,9,1,0,27,4,149,63,494,76,35,415,4,3,3,15,18,106,60,456,110,57,453
1380,H,2.0,3.2,4.0,2,1,7,12,22,137,76,410,119,60,500,4,2,4,10,10,109,65,443,133,65,466
1381,A,2.4,3.1,3.1,2,1,7,6,12,132,70,442,109,53,467,5,2,3,18,13,147,65,442,103,56,467
1382,H,1.65,3.6,5.5,5,0,5,17,14,140,70,429,141,70,481,4,3,3,10,12,97,41,454,140,63,455
1383,H,2.5,3.3,2.75,5,2,3,20,15,110,45,474,116,64,436,7,2,1,22,9,123,58,465,84,41,444
1384,A,1.4,4.5,7.5,3,1,6,12,20,110,53,468,105,58,442,1,3,6,10,23,94,40,398,150,84,512
1385,H,1.44,4.2,7.0,3,2,5,13,16,136,64,454,111,65,455,2,3,5,5,15,112,58,418,114,53,492
1386,D,2.8,3.25,2.6,5,3,2,18,16,162,76,484,127,55,426,4,3,3,9,9,154,75,485,105,48,425
1387,H,2.0,3.3,4.0,4,4,2,19,13,125,57,448,126,49,461,5,1,4,15,17,87,45,407,131,71,503
1388,A,2.5,3.3,2.75,7,1,2,12,7,86,39,431,124,54,479,2,1,7,10,17,83,40,496,123,55,414
1389,H,1.91,3.6,3.8,2,0,8,8,18,77,30,388,121,56,522,3,2,5,17,24,86,45,383,108,48,526
1390,A,6.0,3.8,1.57,2,5,3,11,16,104,44,432,138,75,477,8,1,1,19,8,141,77,520,97,49,390
1391,H,1.85,3.3,4.5,6,4,0,20,7,131,64,457,123,55,453,6,3,1,14,7,123,63,453,125,63,457
1392,H,1.4,4.5,7.5,5,3,2,15,11,137,66,506,129,67,403,1,1,8,6,21,97,46,451,125,52,457
1393,A,12.0,5.5,1.25,1,4,5,10,17,77,41,385,127,69,525,8,1,1,29,10,152,74,524,86,39,386
1394,A,1.73,3.5,5.0,5,2,3,11,11,102,46,431,101,50,478,1,2,7,7,24,90,49,428,103,45,481
1395,H,2.0,3.4,3.8,5,5,0,21,9,137,69,505,109,43,405,7,0,3,18,11,142,83,494,104,61,416
1396,D,1.4,4.5,7.5,4,2,4,12,12,94,48,463,108,48,447,1,2,7,5,16,84,36,425,130,63,484
1397,A,3.25,3.5,2.1,3,1,6,15,25,86,45,386,110,47,523,3,4,3,11,13,120,51,500,102,44,409
1398,H,2.2,3.2,3.5,4,4,2,13,11,130,48,443,139,70,465,5,3,2,20,13,127,59,460,133,56,449
1399,D,1.8,3.6,4.5,4,1,5,14,18,95,50,398,127,71,512,1,4,5,10,16,111,47,424,140,78,486
1400,H,4.5,3.75,1.75,4,2,4,14,15,85,32,444,118,58,465,9,1,0,26,3,137,57,490,76,40,418
1401,A,1.83,3.4,4.5,8,1,1,21,8,137,74,517,98,50,393,6,3,1,16,9,139,64,495,120,60,414
1402,H,1.53,3.8,6.5,6,2,2,18,10,125,60,478,80,36,431,5,1,4,11,12,111,53,450,92,43,459
1403,A,12.0,5.5,1.25,4,1,5,8,14,98,55,412,113,58,497,9,1,0,35,5,146,75,627,63,25,283
1404,D,1.44,4.33,7.0,4,2,4,14,17,115,50,456,75,43,454,3,0,7,10,16,86,37,395,123,55,515
1405,A,4.0,3.6,1.85,3,1,6,15,15,104,55,450,109,50,459,5,2,3,19,10,144,63,559,97,40,351
1406,D,3.5,3.1,2.2,1,1,8,6,21,95,43,460,129,56,449,6,0,4,18,12,142,74,424,134,71,486
1407,H,2.0,3.2,4.0,6,2,2,14,8,123,60,458,132,66,452,2,1,7,12,22,125,67,414,112,54,496
1408,H,1.36,4.5,9.0,6,1,3,18,12,139,63,441,104,48,468,2,3,5,10,18,101,53,409,125,53,499
1409,D,4.0,3.2,2.0,1,3,6,9,16,105,52,393,133,72,516,6,4,0,18,6,137,67,454,125,55,456
1410,A,2.5,3.2,2.8,1,3,6,12,24,91,38,392,142,77,518,5,2,3,17,12,105,43,459,123,68,451
1411,H,1.2,6.5,13.0,9,0,1,32,11,141,66,521,88,40,389,3,0,7,12,22,104,51,478,98,55,432
1412,D,2.0,3.4,3.75,1,3,6,8,17,84,35,415,127,63,494,1,4,5,10,18,76,42,384,128,63,526
1413,A,3.25,3.5,2.1,0,1,9,8,22,70,27,364,127,60,546,4,1,5,14,15,141,65,465,104,61,445
1414,A,1.73,3.6,5.0,5,3,2,15,10,130,64,461,118,59,449,2,6,2,13,13,132,61,471,100,48,439
1415,H,1.29,5.5,11.0,6,4,0,20,7,137,71,503,105,43,407,5,3,2,14,11,126,46,444,144,75,464
1416,A,3.2,3.3,2.3,2,4,4,10,16,109,53,443,129,58,466,4,4,2,17,16,150,66,475,129,58,435
1417,A,3.25,3.25,2.25,4,3,3,17,16,92,42,460,122,60,450,4,3,3,13,10,156,84,476,104,55,434
1418,A,2.1,3.3,3.6,2,1,7,10,20,105,52,484,136,64,425,1,5,4,9,15,94,48,434,97,43,475
1419,A,2.3,3.2,3.2,4,2,4,15,18,98,50,404,115,61,506,4,2,4,14,12,131,58,444,110,53,465
1420,A,1.91,3.4,4.2,1,4,5,8,13,119,67,417,129,59,493,1,4,5,10,16,109,41,424,137,76,486
1421,H,2.1,3.25,3.75,4,3,3,18,13,133,64,456,138,58,453,3,2,5,15,17,123,56,449,103,46,461
1422,H,2.63,3.2,2.75,7,0,3,18,10,138,82,489,100,60,421,4,4,2,10,9,148,76,492,106,42,418
1423,A,1.62,3.75,6.0,4,3,3,13,13,118,43,434,145,78,475,4,3,3,15,15,122,48,446,163,67,462
1424,H,1.53,4.0,6.5,4,4,2,17,16,146,65,469,142,67,441,4,2,4,16,17,103,50,454,123,62,456
1425,D,3.4,3.2,2.25,2,4,4,12,15,114,45,411,148,79,499,2,6,2,13,14,123,56,457,130,69,453
1426,H,1.44,4.2,8.0,5,3,2,16,8,153,81,484,112,56,426,2,3,5,11,18,125,66,448,125,57,461
1427,D,6.5,4.33,1.5,1,6,3,9,11,93,47,438,158,85,471,7,3,0,22,7,139,73,514,90,31,396
1428,A,1.83,3.5,4.5,3,1,6,13,17,128,64,461,95,42,449,4,1,5,15,20,102,55,402,109,61,508
1429,A,1.83,3.4,4.75,4,2,4,15,12,120,54,443,116,57,466,1,4,5,8,14,124,70,429,125,57,481
1430,A,1.33,5.0,10.0,4,1,5,13,12,141,61,468,113,56,442,2,1,7,11,20,111,55,483,126,57,426
1431,D,6.5,4.2,1.5,2,4,4,9,14,100,52,444,96,46,465,7,0,3,19,10,128,73,489,107,61,421
1432,H,1.29,5.5,11.0,3,4,3,9,12,144,72,482,101,43,428,5,2,3,19,12,138,68,445,141,65,465
1433,H,1.7,3.75,5.0,4,1,5,12,11,131,60,475,110,54,435,5,2,3,19,12,134,64,439,147,68,471
1434,H,1.83,3.5,4.5,4,3,3,12,10,132,48,442,134,69,467,5,1,4,17,19,95,50,401,117,64,509
1435,H,1.4,4.5,8.5,5,3,2,18,15,148,68,470,146,72,440,2,4,4,9,12,118,70,432,128,62,478
1436,H,2.0,3.4,3.8,2,5,3,13,15,117,44,412,138,65,498,3,0,7,11,19,108,51,472,127,57,437
1437,H,1.29,5.5,10.0,6,3,1,19,6,142,82,499,115,58,411,4,3,3,15,14,116,46,446,168,70,462
1438,A,5.5,3.6,1.67,1,6,3,10,12,95,46,432,158,81,477,6,1,3,18,12,129,72,482,105,60,428
1439,A,6.0,4.2,1.53,2,1,7,12,19,132,66,467,91,41,443,7,3,0,21,6,133,68,509,90,31,401
1440,H,2.63,3.2,2.75,4,2,4,14,12,131,62,446,111,56,463,1,7,2,12,15,128,55,458,121,61,452
1441,A,2.5,3.2,2.9,2,4,4,10,15,94,54,447,103,51,463,3,2,5,14,18,107,51,454,132,70,456
1442,D,1.25,5.5,13.0,4,3,3,10,12,146,72,489,101,45,421,2,3,5,11,21,122,65,439,119,58,471
1443,H,1.62,3.75,5.5,3,0,7,12,21,95,46,454,101,57,456,1,3,6,8,17,86,38,419,127,61,490
1444,H,1.62,3.75,5.5,3,3,4,13,15,101,53,467,107,51,443,3,1,6,6,19,92,55,413,117,64,496
1445,A,1.67,3.5,5.5,4,0,6,14,21,106,49,431,111,51,479,2,3,5,5,16,104,54,420,118,55,490
1446,H,1.44,4.33,7.0,6,2,2,20,11,117,56,485,75,32,424,1,2,7,12,25,97,43,410,142,75,500
1447,A,10.0,5.25,1.29,5,2,3,17,14,112,42,470,126,70,440,9,0,1,27,10,138,64,524,90,41,386
1448,D,1.44,4.33,7.0,4,1,5,16,15,137,65,461,99,56,449,2,3,5,8,17,93,49,418,106,50,492
1449,A,2.3,3.25,3.25,4,3,3,13,12,111,49,437,178,75,471,1,6,3,10,13,93,44,436,164,85,473
1450,H,2.2,3.25,3.4,1,4,5,7,13,119,69,420,132,66,490,2,1,7,12,19,138,69,476,76,35,434
1451,D,1.91,3.6,4.0,6,1,3,20,12,120,64,479,102,56,431,6,3,1,18,6,154,86,495,117,62,415
1452,H,8.0,4.2,1.44,3,0,7,11,19,107,48,477,120,53,432,3,4,3,11,15,144,72,492,100,41,418
1453,D,1.73,3.6,5.0,4,2,4,16,12,134,67,438,159,77,472,2,4,4,10,14,96,54,455,108,49,455
1454,A,2.2,3.25,3.4,2,3,5,14,24,127,68,424,123,59,486,4,3,3,13,10,134,52,440,131,70,469
1455,H,2.63,3.25,2.75,1,6,3,11,16,135,58,471,116,58,439,6,3,1,19,13,147,69,478,141,69,432
1456,H,1.83,3.6,4.33,3,2,5,10,17,105,44,444,129,67,466,3,4,3,13,13,108,39,416,140,67,494
1457,H,3.4,3.25,2.2,4,1,5,15,21,99,52,408,119,62,502,5,1,4,14,10,132,58,480,113,55,430
1458,D,2.38,3.0,3.25,2,0,8,6,13,135,65,448,96,49,461,6,2,2,16,10,133,66,444,139,68,466
1459,H,1.91,3.3,4.2,6,1,3,18,11,151,78,447,121,67,463,4,4,2,12,8,115,46,425,118,60,485
1460,A,1.44,4.0,8.0,6,4,0,19,7,128,59,467,125,51,443,3,3,4,8,13,103,44,456,149,69,453
1461,H,1.8,3.4,4.6,3,4,3,12,11,153,65,546,109,53,364,7,0,3,17,10,134,64,448,100,47,462
1462,A,4.33,3.25,1.91,1,3,6,12,15,86,37,457,139,60,453,7,1,2,18,8,143,69,516,93,47,394
1463,D,2.88,2.9,2.7,2,4,4,10,18,102,45,428,140,76,481,4,2,4,10,10,97,57,431,134,61,478
1464,H,1.5,4.0,7.0,6,3,1,15,8,140,65,491,124,59,418,2,5,3,12,11,103,45,416,105,48,494
1465,A,13.0,6.5,1.2,2,3,5,6,17,99,51,417,125,62,493,10,0,0,38,5,139,75,614,59,26,296
1466,D,2.25,3.4,3.1,0,1,9,7,23,78,32,382,120,59,528,4,0,6,14,20,120,57,450,91,40,460
