result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
A,1.36,4.75,8.5,7,1,2,26,12,3,6,1,11,6
D,2.4,3.3,2.9,2,3,5,9,14,5,2,3,17,12
D,3.2,3.3,2.25,4,2,4,11,13,7,2,1,19,8
H,1.75,3.75,4.33,4,1,5,14,16,4,1,5,13,12
D,1.4,4.33,8.0,5,3,2,21,11,2,3,5,14,20
A,1.83,3.5,4.2,1,2,7,5,17,1,1,8,7,21
D,2.0,3.5,3.6,3,3,4,10,18,2,2,6,12,22
H,2.7,3.25,2.6,5,3,2,15,12,6,2,2,17,11
A,3.6,3.3,2.05,1,5,4,9,11,6,2,2,16,10
D,2.3,3.25,2.9,7,2,1,20,9,6,1,3,25,15
D,1.25,5.25,10.0,6,1,3,16,11,1,1,8,4,17
D,2.0,3.25,3.5,4,0,6,13,14,1,4,5,9,13
D,3.25,3.25,2.1,4,5,1,14,8,6,2,2,16,10
H,2.3,3.25,2.8,2,4,4,14,18,3,3,4,8,16
D,2.05,3.25,3.4,2,2,6,11,21,2,4,4,9,9
H,2.2,3.25,3.0,4,3,3,15,11,4,3,3,13,14
H,4.33,3.4,1.75,2,1,7,8,20,5,1,4,16,13
H,2.5,3.3,2.75,5,3,2,15,12,4,4,2,17,12
H,1.44,4.33,7.0,5,2,3,23,15,6,2,2,16,12
H,1.36,4.5,9.0,6,3,1,16,9,5,3,2,17,11
A,4.33,3.4,1.85,2,4,4,9,9,6,3,1,17,9
H,1.44,4.33,7.0,3,3,4,12,15,3,1,6,10,17
H,1.67,3.75,5.5,4,1,5,15,16,2,3,5,10,19
A,2.1,3.3,3.2,3,4,3,17,15,5,2,3,14,11
D,2.4,3.3,2.88,0,2,8,3,17,3,3,4,13,16
H,2.38,3.4,2.88,4,3,3,11,14,6,0,4,17,12
A,2.2,3.3,3.3,1,5,4,10,12,4,5,1,15,9
H,1.44,4.2,6.0,7,2,1,17,8,1,5,4,9,11
H,1.73,3.4,4.5,6,2,2,17,12,4,1,5,15,17
H,2.2,3.25,3.0,4,1,5,15,14,4,2,4,13,15
H,1.29,4.75,9.5,3,3,4,18,17,0,3,7,4,17
A,5.0,3.75,1.67,3,3,4,14,17,6,2,2,23,12
D,4.75,3.5,1.67,2,2,6,11,21,6,3,1,16,9
H,2.2,3.25,3.0,5,2,3,18,14,4,5,1,14,7
D,2.3,3.2,2.88,2,1,7,10,19,3,3,4,7,13
H,1.57,3.6,5.25,5,2,3,15,14,2,3,5,10,11
H,1.2,6.0,11.0,7,1,2,24,11,1,2,7,10,22
A,1.36,4.5,7.5,6,3,1,15,8,5,1,4,19,14
H,2.1,3.25,3.25,2,2,6,11,13,2,3,5,13,19
A,1.67,3.4,5.0,4,2,4,14,17,2,2,6,11,21
H,2.4,3.3,2.88,4,1,5,17,17,4,3,3,20,14
H,2.88,3.2,2.3,4,4,2,13,8,8,1,1,19,7
H,3.25,3.3,2.1,0,2,8,3,20,5,2,3,14,13
H,3.25,3.25,2.1,3,3,4,10,16,7,1,2,19,13
H,2.2,3.25,3.0,1,4,5,7,12,5,2,3,18,13
A,2.62,3.2,2.62,7,1,2,17,8,5,3,2,13,9
H,1.53,4.0,6.0,6,1,3,17,14,3,2,5,12,17
H,2.05,3.3,3.6,6,0,4,19,13,5,2,3,17,13
D,1.5,4.0,6.5,4,3,3,19,14,4,3,3,13,16
D,3.25,3.25,2.2,2,2,6,13,22,4,4,2,13,8
H,2.5,3.3,2.75,3,2,5,12,20,2,4,4,10,10
A,8.0,4.75,1.36,1,1,8,2,18,7,1,2,27,12
H,2.8,3.25,2.5,1,2,7,9,24,3,2,5,15,13
A,2.05,3.3,3.6,5,2,3,14,12,4,1,5,18,17
H,1.57,3.8,6.0,7,1,2,28,12,6,1,3,15,12
H,1.5,4.2,6.5,6,2,2,17,10,3,4,3,16,15
D,2.25,3.25,3.25,3,2,5,15,13,6,0,4,17,12
H,1.61,3.75,5.5,3,2,5,10,14,2,3,5,14,21
H,1.4,4.33,8.5,5,1,4,18,15,1,1,8,2,17
D,1.83,3.4,4.5,4,5,1,14,7,4,1,5,14,21
H,3.0,3.25,2.4,4,2,4,16,15,6,1,3,15,12
